ser,deathRate,avgAnnCount,avgDeathsPerYear,incidenceRate,medIncome,popEst2015,povertyPercent,studyPerCap,binnedInc,MedianAge,MedianAgeMale,MedianAgeFemale,Geography,AvgHouseholdSize,PercentMarried,PctNoHS18_24,PctHS18_24,PctSomeCol18_24,PctBachDeg18_24,PctHS25_Over,PctBachDeg25_Over,PctEmployed16_Over,PctUnemployed16_Over,PctPrivateCoverage,PctPrivateCoverageAlone,PctEmpPrivCoverage,PctPublicCoverage,PctPublicCoverageAlone,PctWhite,PctBlack,PctAsian,PctOtherRace,PctMarriedHouseholds,BirthRate
11,121.4,113,36,413.3,54721,16252,12.7,0,"(54545.6, 61494.5]",54.4,54,54.6,"San Juan County, Washington",2.04,56.8,17.7,32.4,,5.2,17.2,26.2,54.6,5.9,67.2,,27.9,41.6,18.3,92.57332665,0.651792429,1.428929556,2.237402858,50.0389206,4.586129754
12,172.7,740,269,499.3,51395,121846,15.7,837.1222691,"(51046.4, 54545.6]",41,40,42.2,"Skagit County, Washington",2.56,53.6,25.5,33.8,37.6,3.1,26.7,15.9,,8.2,64.4,,38,38.1,20.2,85.59027341,0.806079954,1.887835902,6.226590583,52.93732685,5.818153266
13,188.3,55,26,398.9,52673,11339,12.6,0,"(51046.4, 54545.6]",45.2,44.9,45.5,"Skamania County, Washington",2.49,54.4,20,43.8,,2.4,29.2,14.2,51.5,8.3,64.4,49.7,42.6,36.1,20.5,93.41812683,0.844970204,0.978386552,0.773814818,52.94771969,4.805591962
14,165.3,3438,1118,493.4,71890,772501,9.9,138.5111476,"(61494.5, 125635]",37.6,36.6,38.7,"Snohomish County, Washington",2.68,52.1,15.4,33.3,,8.3,24.3,20.9,62.1,7.5,73.3,61.6,54.3,25.9,14.1,78.83273756,2.595851085,9.51151338,2.252719804,52.72049671,4.729251068
15,171,2265,901,440.7,50083,490945,16.3,462.3735856,"(48021.6, 51046.4]",37.2,35.7,38.7,"Spokane County, Washington",2.45,49.4,10.9,29.3,51.2,8.6,25.7,18.1,55.1,8.4,65.2,50.6,42.5,36.5,21.4,89.03816718,1.827041461,2.315985625,1.03362505,48.18837711,5.355835918
16,174.2,251,106,423.8,43823,43791,19.3,0,"(42724.4, 45201]",46.2,45.6,46.8,"Stevens County, Washington",2.44,57.2,25.1,35.3,,3.9,34.4,10.7,46.3,9.4,58.3,39.3,33.9,45.8,24.1,89.17745936,0.489115459,0.603931294,0.865711399,55.21239889,3.631082062
17,169.9,1390,483,495.9,61653,269536,11.9,207.7644545,"(61494.5, 125635]",38.5,37.1,39.9,"Thurston County, Washington",2.52,52.4,14.8,31.7,46.2,7.4,22.7,20.3,56.5,8.5,74.5,55.4,43.5,30.7,13.7,82.58622199,2.839873174,5.83580425,1.226386727,50.87449211,5.180155167
18,153.8,32,12,463.2,51022,4042,13.9,0,"(48021.6, 51046.4]",52.1,51.5,53.1,"Wahkiakum County, Washington",2.31,53.5,37.2,20.8,37.8,4.2,33.1,10.1,35.7,10.6,64.7,38.6,35.2,49.7,20.4,92.96158612,0.123915737,1.140024783,0,53.37995338,0.535475234
19,162.8,305,120,442.5,49819,60338,15.7,464.0525042,"(48021.6, 51046.4]",36.9,35.5,39.1,"Walla Walla County, Washington",2.5,46.5,13.7,29.2,,5.6,22.6,16.4,54.5,6.4,65.7,47.6,40,38,18.8,86.23882396,1.649198004,1.617386063,5.63573653,49.3270649,4.138710893
20,163.3,1081,367,490.9,53733,212284,15.7,249.6655424,"(51046.4, 54545.6]",36.5,35.6,37.5,"Whatcom County, Washington",2.53,47.5,9.4,22.1,,7.7,23,21.3,57.8,8.2,68.7,54.6,44.8,31.9,17.4,85.4703042,0.880733945,3.925156929,2.425881217,48.06875024,4.4729858
21,140.8,134,50,390.5,41837,48177,28.4,0,"(40362.7, 42724.4]",24.2,24.4,23.9,"Whitman County, Washington",2.31,36.1,1.2,16.4,,10.3,17.4,25.7,53.4,8.8,78.3,66.2,53.8,22.9,11.9,83.58260051,2.154609838,7.614951751,1.61542247,40.55405483,3.304159034
22,169.4,958,403,411,44342,248830,20.5,301.4106016,"(42724.4, 45201]",32.5,31.6,33.6,"Yakima County, Washington",3.05,48.6,28.7,39.3,,3,27.8,9.8,56,9,54.6,42.3,30.8,35.7,22.4,78.02051672,0.842737502,1.089697989,12.95026838,50.66898414,6.560611666
23,189.7,94,41,445.2,35615,16704,21.5,0,"(34218.1, 37413.8]",41.5,40.9,42.1,"Barbour County, West Virginia",2.68,52,9.8,36.1,45.8,8.3,47.1,7.9,46.5,9,55.6,40.1,36.5,44.8,26.4,96.84418146,0.836770068,0.37654653,0.029884645,55.28885946,2.292860865
24,206.1,499,215,463.1,56737,111901,13.2,89.3647063,"(54545.6, 61494.5]",38.4,38,38.6,"Berkeley County, West Virginia",0.0263,51.8,17,40.8,32.2,10,38.2,12.7,58.7,9.7,70,,49.7,33.1,17.3,87.80122144,7.333247489,1.052205585,0.905963725,51.52350516,4.872468117
25,236.7,152,70,501.8,37625,23372,22.1,0,"(37413.8, 40362.7]",41.9,41.2,43.2,"Boone County, West Virginia",2.5,55.2,21.3,42.9,,5.2,49.4,5.4,39.5,9.2,60.2,42.8,41.3,46.3,25.4,98.3125,0.675,0.091666667,0.129166667,53.06378967,4.220287661
26,196.3,80,40,396.6,33817,14415,22.2,0,"[22640, 34218.1]",44.5,43.7,45.3,"Braxton County, West Virginia",2.51,52.4,32.6,46.2,,3.4,49.1,8.5,44.3,14.4,56.1,41.9,38.9,43.4,25.4,97.91234619,0.497718789,0,0,53.27269485,5.469020422
27,186.2,164,69,481.6,43572,23350,15.1,0,"(42724.4, 45201]",45.9,44.1,48,"Brooke County, West Virginia",2.26,50.3,11.1,30.6,,3.8,43.7,11,51.9,6.4,68.3,49.5,46.4,39.7,19.4,96.81808578,1.745193323,0.515529263,0.063384745,47.58723829,4.970530452
28,194,564,237,483.4,34887,96844,21.9,330.4283177,"(34218.1, 37413.8]",38.5,36.9,39.9,"Cabell County, West Virginia",2.32,43,9.7,28.2,,11.5,31.9,14.8,50.3,6.8,63.3,48.2,44.4,39,21.7,91.06936297,4.818020326,1.189787656,0.228249194,40.76501639,4.521925134
29,226.5,50,25,459.9,32162,7470,21.8,0,"[22640, 34218.1]",47,47.6,46.5,"Calhoun County, West Virginia",2.44,55.7,11.6,31.4,,0,48.9,7.6,39.9,18.1,52.4,36.5,35.1,46,25.2,98.25327511,0.09262935,0.052931057,0.026465529,53.33333333,4.780114723
30,212.9,70,26,591,32961,8910,25.1,4938.271605,"[22640, 34218.1]",43.3,43.4,43.3,"Clay County, West Virginia",2.62,55.8,19.5,51.1,,0,49.1,5.8,39.6,12.3,48.7,33.7,32.6,52,32.5,98.04178974,0,0,0.043758889,58.09248555,8.753056235
31,185.6,25,19,234,41838,8176,17.4,0,"(40362.7, 42724.4]",43.7,41.8,45.5,"Doddridge County, West Virginia",2.85,45.8,26.2,61.7,10.1,1.9,44.3,8.8,41,6.5,55.2,37.7,35.5,45.2,25.4,96.67113767,1.085233508,0.085355444,0,53.92670157,6.016466118
32,217,280,137,457,36739,44997,21.4,0,"(34218.1, 37413.8]",43.2,42,45.1,"Fayette County, West Virginia",2.47,50.9,17.3,49.3,,4.4,44.4,8.4,42.6,9.2,53.4,36.1,34,47.8,27.8,93.37637809,5.160978609,0.103219572,0.230596917,49.88397759,6.526136485
33,209.9,45,21,463.1,32705,8518,28.9,0,"[22640, 34218.1]",38.4,37.4,41.2,"Gilmer County, West Virginia",2.4,43.2,7.8,29.4,,3.9,36.6,9.8,37.1,9.4,61.3,,41.2,39,18.8,81.55946321,10.89773253,0.323924109,1.353540028,52.58746356,2.328431373
34,128,58,22,356.3,41039,11766,17,0,"(40362.7, 42724.4]",45.6,45.5,45.7,"Grant County, West Virginia",0.028,50.5,16.3,41.5,33.8,8.4,50.2,7,51.3,6.7,65.1,48,44.5,42.4,21.2,97.37621667,1.379602201,0,0.110029623,55.4011976,3.528435035
35,195.1,250,103,494.9,36996,35516,21.1,0,"(34218.1, 37413.8]",45.3,44.6,46.7,"Greenbrier County, West Virginia",2.28,52.2,22.4,36.6,27.8,13.3,44,11.2,48.2,7.2,61.9,43.3,39.1,43,22.1,94.14288118,2.299108395,0.38692312,0.42617619,47.48027903,4.354354354
36,212.1,145,66,475.1,35980,23353,21.2,0,"(34218.1, 37413.8]",44.6,44,45.1,"Hampshire County, West Virginia",2.25,38.7,21.5,47.4,,5.3,50,6.9,46,8.1,50.5,38.2,35.6,44.7,31.1,97.15827033,1.422988701,0.03398182,0.097697732,33.68648224,2.28320067
37,184.1,218,85,495,48178,29815,12.9,0,"(48021.6, 51046.4]",45.6,44.1,47.9,"Hancock County, West Virginia",2.32,51.8,20,23.8,,14.8,42.8,12.6,53.2,7.2,69.5,50.3,46.7,37.6,17.1,95.71537366,2.238336479,0.248336148,0,48.44113541,5.693029274
38,153,68,29,374.9,41010,13852,15.3,0,"(40362.7, 42724.4]",44.5,44.2,45,"Hardy County, West Virginia",2.69,50.1,24.9,54.2,,3.9,47.7,9.3,53.7,7.9,65.8,,46.9,38.2,19.1,94.69001148,4.355625718,0.46641791,0.215269805,51.41582622,2.955003358
39,206.7,449,192,506.6,42121,68714,13.9,160.0838257,"(40362.7, 42724.4]",42,40.5,43.5,"Harrison County, West Virginia",2.48,52.4,17.7,38.6,34.2,9.5,39.5,13.5,53,7.4,64,47.3,44,39.5,21.3,95.67378765,1.820342619,0.526102206,0.155076959,49.69820377,5.060383303
40,194.2,182,78,475.8,41121,29237,16.7,0,"(40362.7, 42724.4]",42.6,41.2,44.1,"Jackson County, West Virginia",2.62,54.5,13.7,41.2,35.9,9.2,41.1,11.7,46.8,6.8,66.9,48.8,45.6,40.6,21.3,97.40224228,0.66311184,0.201668034,0.061525841,55.45062062,4.735242361
41,178.2,245,101,423.7,66950,56482,10.2,0,"(61494.5, 125635]",39.7,39.9,39.3,"Jefferson County, West Virginia",2.65,53.3,14.1,24.5,55.3,6.2,32.1,18.2,60.3,8.4,73.3,58.6,53.8,29.2,14.6,88.24211251,6.96562466,1.622776832,0.56688521,54.09965078,4.995519713
42,205.4,1285,539,508.7,43936,188332,16.8,191.1517958,"(42724.4, 45201]",42.8,40.9,44.3,"Kanawha County, West Virginia",2.28,47.9,20.4,33,,7.6,37.3,14.7,54.1,7,66,48.6,45.4,39.4,20.4,88.72214738,4.475812581,1.100738543,0.189222197,43.74346505,4.091266719
43,218.4,124,50,553,40568,16448,20,0,"(40362.7, 42724.4]",43.3,42.2,44.7,"Lewis County, West Virginia",2.48,50.6,15.6,41.8,,9.8,49.7,9.3,47.1,7.2,56.4,39.4,35.5,46.8,26.9,97.8094195,0.535475234,0.261652671,0,49.87741342,4.374100719
44,226.9,139,60,513.2,34295,21415,24.4,46.69624095,"(34218.1, 37413.8]",41.9,41.4,42.8,"Lincoln County, West Virginia",2.69,50.6,16.9,50.7,27.2,5.2,43.4,5.7,42.2,10.1,51.7,34.3,31.7,52.6,31.6,98.32560297,0.477736549,0.269016698,0,52.9271954,2.635983264
45,240.1,245,113,523.9,36437,34707,20.2,28.81263146,"(34218.1, 37413.8]",42.6,41.5,44.1,"Logan County, West Virginia",2.5,53.1,15,45.9,,2.2,41.6,5.5,40.5,10.9,56.1,40.5,39.9,45.5,25.8,96.44574944,2.192393736,0.363534676,0.164988814,52.33924375,4.195713917
46,234.8,137,70,457.1,24707,19835,34.9,0,"[22640, 34218.1]",44.1,41.5,46.5,"McDowell County, West Virginia",2.39,46,32.3,51.6,,3.1,43.9,3.2,27,13.3,39.7,24.3,23.4,58.5,37.7,89.35679262,9.157773291,0,0.572060379,44.26650367,3.860072376
47,188.8,373,144,510.9,43729,56925,17.9,0,"(42724.4, 45201]",41.1,39.7,42.7,"Marion County, West Virginia",2.47,51,11.2,34.4,,5.4,40.9,14.5,,4.9,67.6,,48.5,35.7,18.3,93.95492164,3.62211657,0.515935904,0,49.46399182,5.113459745
48,184.6,208,87,456.3,43356,31978,15.2,0,"(42724.4, 45201]",44.3,42.9,46.5,"Marshall County, West Virginia",2.36,57.7,8.5,45.9,,9.2,45.1,11.4,50.9,7,70.3,50.4,47.8,37.5,17,97.66625616,0.858990148,0.406403941,0.172413793,55.3172673,3.174132305
49,209.5,168,78,463.4,35799,27037,20.6,1146.576913,"(34218.1, 37413.8]",43,42.3,44.1,"Mason County, West Virginia",2.44,51.6,23.1,42.5,,3.3,47.5,7.8,41.2,10.3,59.6,41.6,39,47.6,26.6,97.86584244,0.724877654,0.058873312,0.099348714,50.71046319,3.66910141
50,210,418,184,493.8,35046,61164,20.5,81.74743313,"(34218.1, 37413.8]",42.3,40.6,43.7,"Mercer County, West Virginia",2.39,50.6,14,37.3,,6.1,37.9,12.5,46.6,5.1,56.4,,35.9,48.2,27.1,91.14249245,5.857071303,0.654376242,0.177731819,48.3713803,4.807972069
51,198.4,170,76,456.6,40012,27451,16.1,0,"(37413.8, 40362.7]",43.2,42.1,44.4,"Mineral County, West Virginia",2.4,44.2,9.5,48.4,37.3,4.8,50.2,8.5,47,8.8,58.6,45.1,41.6,39.4,23.3,94.81534859,3.145379211,0.299045217,0.169338858,42.97381269,7.391231312
52,240.8,163,76,507,29839,25292,28.1,0,"[22640, 34218.1]",41.7,40.4,42.7,"Mingo County, West Virginia",2.38,55.6,17.2,47.3,,0.6,41,5.4,38.1,14.1,51.6,35.6,34.1,50.9,31.3,96.08962246,1.415294435,0.408777139,0.327792989,52.14865363,2.796024928
53,155.9,382,132,444.5,43835,104236,22.5,95.9361449,"(42724.4, 45201]",30,28.5,31.3,"Monongalia County, West Virginia",2.56,37.2,3.5,23.8,58.2,14.5,29.9,20.6,55.4,5.8,76.5,63.8,57.1,23.3,12.4,90.57717276,3.597002007,3.150450486,0.353110123,40.42122317,4.001671717
54,190.7,86,39,434.6,36351,13506,19.3,0,"(34218.1, 37413.8]",46.6,45.4,48.3,"Monroe County, West Virginia",2.3,56.8,10.6,42,47,0.3,49.4,8.7,48,7.3,60.5,40.4,36.6,45.2,23.7,97.65619224,0.695009242,0,0,53.16042597,6.07651913
55,209.7,105,52,425.4,44446,17524,13,0,"(42724.4, 45201]",46.1,45.8,46.6,"Morgan County, West Virginia",2.36,47.7,13.3,53.1,,7.6,41.2,11.1,49.3,12.3,63.7,,38.4,38.4,17.3,97.35622318,0.772532189,0.417739628,0,45.14153511,4.090035685
56,199.8,160,72,455.5,36375,25594,19.6,0,"(34218.1, 37413.8]",43.4,42.3,44.7,"Nicholas County, West Virginia",2.39,57.9,14.7,44.2,,1.3,48,8.2,46.5,8.4,61.6,,42.2,44.1,23.5,99.32896259,0.034708831,0.208252989,0,55.74302401,3.346456693
57,184.4,308,123,500.9,40195,43066,18.4,301.8622579,"(37413.8, 40362.7]",43.3,41.3,45.1,"Ohio County, West Virginia",2.24,45.2,8.9,26.7,,8.1,34.5,18.7,56,5.5,70.9,,47.9,36.2,16.8,93.13655843,4.152439444,0.850195935,0.288745789,42.92698827,3.257226644
58,139.8,45,19,381.8,38204,7229,16.7,0,"(37413.8, 40362.7]",49.1,47.4,50.3,"Pendleton County, West Virginia",2.35,55.3,25.9,41.3,,3.6,46,7.3,45.4,4.9,59.8,41,31,45.3,24.1,95.9605512,2.728992164,0.040529587,0.108078898,54.86268174,7.611940299
59,213.3,45,21,458.9,44801,7674,16.5,0,"(42724.4, 45201]",43.6,42,45.6,"Pleasants County, West Virginia",2.43,55,9,47.1,,4.3,50.1,7.3,45.6,8.2,71.6,53.8,51.8,36.8,17.7,97.14510215,0.275013096,0,0,56.79225717,2.966381015
60,176.8,50,23,384.8,34341,8607,17.6,0,"(34218.1, 37413.8]",48.4,47.9,49,"Pocahontas County, West Virginia",2.24,56.4,10,54.9,27.1,8,47.4,10,50.7,5.7,60,40,37.8,44.9,23,96.75750259,1.483270093,0,0,53.27803051,4.256631709
61,169.8,183,73,435.3,41420,33940,17.6,0,"(40362.7, 42724.4]",42.3,40.4,43.5,"Preston County, West Virginia",2.52,53.3,18,44.6,31.4,5.9,46.4,9,49.5,7,63.5,46.8,43.8,39.3,21.1,94.16427578,3.972315064,0.156762992,0.328314946,56.80724824,4.038301415
62,171.5,328,114,497.2,59472,56848,10,211.0892204,"(54545.6, 61494.5]",41,40.4,41.6,"Putnam County, West Virginia",2.6,57.4,7.7,43.6,43,5.8,37.8,14.8,57.7,3.7,73.6,59.4,55.3,31.2,15.8,96.62520319,1.500106015,0.33924659,0.169623295,58.72299258,6.034482759
63,198.2,482,206,469.6,40270,77510,17.7,12.90156109,"(37413.8, 40362.7]",41.6,40,43.4,"Raleigh County, West Virginia",2.4,51.3,11.9,41.1,,8.3,39.5,12,45.5,6.6,60.6,36.8,33.6,44.6,24,88.30214159,8.28099321,1.188641025,0.52488757,49.67065294,3.77850558
64,168.6,161,68,405.2,37468,29126,20.8,0,"(37413.8, 40362.7]",43.2,41.7,45.1,"Randolph County, West Virginia",2.35,52.2,24.3,35.7,,7.6,46.3,10.6,48.7,6.7,59.6,43.1,40.5,43.3,23.4,96.90447812,1.924059254,0.17708156,0.08854078,51.97613076,4.231027535
65,214.7,72,32,502,46383,9982,17.7,0,"(45201, 48021.6]",45.2,45.1,45.3,"Ritchie County, West Virginia",2.56,49.5,23.1,38,,0.3,47.9,6.3,44.8,10.6,57.4,38.9,37,46.9,24.3,98.234714,0.473372781,0,0.029585799,49.74632166,6.267539757
66,204,89,41,449.2,33041,14435,23.1,0,"[22640, 34218.1]",44.2,43.2,45,"Roane County, West Virginia",2.48,53.9,26,45.8,,10,46.5,8.2,41.3,8.9,51.6,36,32.9,51.8,32.6,97.9365947,0.020497404,0.12981689,0.204974037,52.19686649,2.353331124
67,170.4,76,36,377.1,32456,13239,25.8,0,"[22640, 34218.1]",46.3,46.9,46,"Summers County, West Virginia",2.22,53.5,20,46.2,,8.4,40.5,7.6,42.2,10,60.2,38.7,35.2,49.6,24.7,93.04489073,5.06497342,0.147666864,0.191966923,50.44770774,3.812668868
68,172.2,87,39,400.9,40305,16912,16.8,0,"(37413.8, 40362.7]",43,41.6,44.5,"Taylor County, West Virginia",2.45,52.3,9.2,44.6,,5,43.6,11.7,48.9,9.5,63.7,45.9,43.9,42.6,20.6,97.26100018,0.948341874,0.960122519,0.035341933,52.0647653,6.801152738
69,168.1,56,19,528.4,36466,6966,17.1,0,"(34218.1, 37413.8]",47.7,47,48.4,"Tucker County, West Virginia",2.26,60.5,7,50.6,,0,52.7,7.1,51.7,7.6,68,,46.1,39.3,17.9,98.16408491,0.229489386,0.602409639,0,56.87707641,3.868613139
70,199.1,61,27,468.3,41019,8975,15.8,0,"(40362.7, 42724.4]",46.2,45.6,46.9,"Tyler County, West Virginia",2.48,53.5,19,44.1,,6.3,49.2,7.2,44.1,10.9,62.3,41.7,38.9,43,19.8,98.73796081,0.166057788,0,0.022141038,52.40597345,1.988950276
71,189.5,142,60,453.7,38387,24758,19.7,0,"(37413.8, 40362.7]",41.8,41.2,42.5,"Upshur County, West Virginia",2.57,51.5,9.1,39.1,,6.1,48.4,9.3,48.2,8,59.7,45,41.3,40.2,23.3,97.41449511,1.099348534,0.236156352,0.052931596,53.55768173,5.300938708
72,183.8,236,102,433.2,37242,40971,20,24.40750775,"(34218.1, 37413.8]",42.5,41.3,43.5,"Wayne County, West Virginia",2.47,48.9,13.4,43.3,,3.2,40.9,7.5,43.3,9.9,54.6,39.7,37,45.6,27.1,97.9300706,0.361454493,0.132533314,0.214462999,47.52860823,4.112005292
73,259.5,65,33,511.9,29331,8755,26.1,114.2204455,"[22640, 34218.1]",46.3,45.5,46.6,"Webster County, West Virginia",2.28,54.1,10.4,54.6,32.3,2.8,43,5.3,40.2,14.8,45.1,31.2,28.2,53.3,35.4,97.98364512,0.123221687,0.369665061,0,48.72652431,4.203539823
74,202.6,120,50,514.6,40013,15816,18.5,0,"(37413.8, 40362.7]",46,44.6,47.2,"Wetzel County, West Virginia",2.46,51.4,19.8,52.5,,3.2,48.7,6,41.7,8.1,63.5,42.7,39.7,44.6,21.3,98.44030451,0.117596088,0.470384354,0,51.70881226,6.161137441
75,185.8,35,14,455.3,38600,5880,20.3,0,"(37413.8, 40362.7]",45,45.4,44,"Wirt County, West Virginia",2.4,52.2,21.1,31.6,,2.3,47.6,7.8,47.9,8.4,61.6,46.7,44,41.4,23.5,97.41482623,0.838897449,0,0.119842493,51.76954733,5.968928863
76,185.5,554,217,488.8,41932,86452,17.2,173.5066858,"(40362.7, 42724.4]",42.5,41.1,44,"Wood County, West Virginia",2.37,51.1,15.8,36.5,,4.2,38.1,12.2,52.4,8.6,63,,42.2,42,22.7,96.18988205,1.059393015,0.607678,0.251851338,47.88351017,6.23870268
77,235.4,134,69,447.8,34419,22151,22.8,0,"(34218.1, 37413.8]",42.8,41.5,44.2,"Wyoming County, West Virginia",2.48,55.7,23.3,33.7,,3.6,46,4.5,34.6,10.1,54.6,38.3,36.7,49.9,28.7,97.72588122,0.782821657,0,0.126825855,54.03848244,6.018614271
78,206,164,73,467.9,42063,20148,17.8,0,"(40362.7, 42724.4]",51.4,49.7,53.3,"Adams County, Wisconsin",2.47,50.9,21.5,44.6,,3.3,43.7,8.5,42.2,10.1,63.9,38.9,34.1,50.8,22.6,93.18859713,3.051195541,0.391178915,0.718791257,54.12278449,3.861129137
79,217.5,90,45,451.5,41294,15843,14.9,0,"(40362.7, 42724.4]",42.2,40.8,42.8,"Ashland County, Wisconsin",2.29,45.9,8.9,31.3,,6,35,14.6,58.2,7.9,62.7,46.2,39.4,42.5,23.9,84.96217095,0.525229788,0.518977052,0.175076596,42.79547484,6.460336538
80,168.4,254,112,412.1,46375,45563,13.7,1097.381647,"(45201, 48021.6]",43.9,42,45.6,"Barron County, Wisconsin",2.35,55.8,15.6,44.4,,3.3,39.8,10.6,60,6,68.4,50.9,43.2,39.2,19,95.66169067,1.267346671,0.474981395,0.709188811,52.64644351,5.884312202
81,171.7,88,42,369.9,44395,14977,13.6,0,"(42724.4, 45201]",50.8,50.5,51.1,"Bayfield County, Wisconsin",2.16,58.5,14.2,28.8,,4.5,30.2,18.9,54.1,7.2,65.9,,37.2,44.1,21,86.37873754,0.664451827,0.445182724,0.252491694,52.79664691,5.547054323
82,158.6,1214,406,479.1,54141,258718,12,1213.676667,"(51046.4, 54545.6]",36.8,35.7,37.9,"Brown County, Wisconsin",2.46,51.4,16.8,28.7,,9,31.3,20,65.4,6.1,72.5,60,54.6,30,17.2,86.45045286,2.359873899,3.026496072,2.879666453,49.80425278,5.921762149
83,166.4,71,33,385.7,50998,13192,10.5,151.6070346,"(48021.6, 51046.4]",45,45.1,44.9,"Buffalo County, Wisconsin",2.29,59,14.5,39,,5.5,42.5,12.4,64.7,3.7,73.4,56.7,49.3,34.5,16,97.49230423,0.473008484,0.090096854,0.848412043,54.08074857,7.17472119
84,190.1,103,50,399.2,41810,15159,16.5,0,"(40362.7, 42724.4]",50.9,50.6,51.4,"Burnett County, Wisconsin",2.08,59,14.7,34.9,,6.8,40,11.9,50.3,7.5,64.2,,34.3,48.2,23.7,91.5416721,0.482587714,0.410851702,0.254336768,51.08041575,4.96054115
85,157.9,238,79,474.1,68430,49762,5.9,0,"(61494.5, 125635]",39,38.4,39.8,"Calumet County, Wisconsin",2.66,62,14.6,27.9,,11.9,33.8,20.6,69.4,3.1,84.1,72.2,66.3,22.4,10.6,94.67772455,0.779016869,2.411530255,0.696485366,62.98229565,4.330985915
86,160.1,356,123,482.4,52485,63531,10.7,487.9507642,"(51046.4, 54545.6]",40.6,39.1,42,"Chippewa County, Wisconsin",2.44,55.6,14.2,36.1,42.6,7,38.5,13.5,61.8,5.1,73.4,56.9,50.8,33.9,15.7,95.12569413,1.358983689,1.202360423,0.229397712,55.24062236,5.497771174
87,157.6,184,70,455.2,45316,34445,16,0,"(45201, 48021.6]",37.1,36.4,38.4,"Clark County, Wisconsin",2.65,58.2,37.3,35.4,,2.7,43.3,8.4,61.2,4.8,56.6,41.9,34.1,34,17.6,97.12034301,0.402688452,0.446144041,0.625760473,57.41970774,9.86429301
