Date,Sales
01-01-2005,7908
01-02-2005,7973
01-03-2005,8787
01-04-2005,8418
01-05-2005,8649
01-06-2005,8966
01-07-2005,8957
01-08-2005,9607
01-09-2005,9216
01-10-2005,9110
01-11-2005,10232
01-12-2005,11297
01-01-2006,8595
01-02-2006,8457
01-03-2006,9412
01-04-2006,8556
01-05-2006,9209
01-06-2006,9447
01-07-2006,9244
01-08-2006,9940
01-09-2006,9511
01-10-2006,9178
01-11-2006,10195
01-12-2006,11051
01-01-2007,8802
01-02-2007,8423
01-03-2007,9415
01-04-2007,8553
01-05-2007,9266
01-06-2007,9171
01-07-2007,9194
01-08-2007,9867
01-09-2007,8885
01-10-2007,9069
01-11-2007,10012
01-12-2007,10487
01-01-2008,8163
01-02-2008,8104
01-03-2008,8381
01-04-2008,8029
01-05-2008,8604
01-06-2008,8117
01-07-2008,8495
01-08-2008,8456
01-09-2008,7676
01-10-2008,7712
01-11-2008,8121
01-12-2008,8862
01-01-2009,6796
01-02-2009,6593
01-03-2009,6907
01-04-2009,6608
01-05-2009,6974
01-06-2009,6922
01-07-2009,7194
01-08-2009,7159
01-09-2009,6967
01-10-2009,6853
01-11-2009,7375
01-12-2009,8401
01-01-2010,6324
01-02-2010,6468
01-03-2010,7271
01-04-2010,6729
01-05-2010,6932
01-06-2010,6902
01-07-2010,7243
01-08-2010,7330
01-09-2010,7101
01-10-2010,6793
01-11-2010,7630
01-12-2010,8482
01-01-2011,6244
01-02-2011,6488
01-03-2011,7530
01-04-2011,6896
01-05-2011,7086
01-06-2011,7039
01-07-2011,7241
01-08-2011,7685
01-09-2011,7450
01-10-2011,6967
01-11-2011,7931
01-12-2011,9029
01-01-2012,6866
01-02-2012,7169
01-03-2012,7784
01-04-2012,6872
01-05-2012,7683
01-06-2012,7378
01-07-2012,7551
01-08-2012,8064
01-09-2012,7439
01-10-2012,7260
01-11-2012,8260
01-12-2012,9216
01-01-2013,7297
01-02-2013,7089
01-03-2013,7875
01-04-2013,7314
01-05-2013,7834
01-06-2013,7558
01-07-2013,7977
01-08-2013,8461
01-09-2013,7848
01-10-2013,8059
01-11-2013,8842
01-12-2013,9195
01-01-2014,7201
01-02-2014,7227
01-03-2014,8104
01-04-2014,7791
01-05-2014,8384
01-06-2014,7881
01-07-2014,8403
01-08-2014,8734
01-09-2014,8371
01-10-2014,8441
01-11-2014,8950
01-12-2014,10231
01-01-2015,7964
01-02-2015,7514
01-03-2015,8616
01-04-2015,8261
01-05-2015,8893
01-06-2015,8576
01-07-2015,9110
01-08-2015,9148
01-09-2015,8967
01-10-2015,9108
01-11-2015,9488
01-12-2015,10925
01-01-2016,8181
01-02-2016,8384
01-03-2016,9264
01-04-2016,8610
01-05-2016,9002
01-06-2016,9113
01-07-2016,9177
01-08-2016,9567
01-09-2016,9529
01-10-2016,9048
01-11-2016,9950
01-12-2016,10870
01-01-2017,8307
01-02-2017,8277
01-03-2017,9698
01-04-2017,8630
01-05-2017,9470
01-06-2017,9411
01-07-2017,9276
01-08-2017,9897
01-09-2017,9530
01-10-2017,9494
01-11-2017,10536
01-12-2017,11257
01-01-2018,8699
01-02-2018,8505
01-03-2018,10013
01-04-2018,9175
01-05-2018,9910
01-06-2018,9713
01-07-2018,9700
01-08-2018,10170
01-09-2018,9546
01-10-2018,9693
01-11-2018,10550
01-12-2018,10937
01-01-2019,8581
01-02-2019,8382
01-03-2019,9793
01-04-2019,9271
01-05-2019,10004
01-06-2019,9432
01-07-2019,9872
