RefID,OrderID,OrderDate,CompanyName,ContactName,City,Country,ProductName,CategoryName,QuantityPerUnit,SalePrice,Quantity,SaleDiscount,CostPrice
100019,10254,11-Apr-2013,Chop-suey Chinese,Yang Wang,Bern,Switzerland,Pâté chinois,Meat/Poultry,24 boxes x 2 pies,19.20,21,0.15, 24.00 
100020,10254,11-Apr-2013,Chop-suey Chinese,Yang Wang,Bern,Switzerland,Longlife Tofu,Produce,5 kg pkg.,8.00,21,0.00, 10.00 
100021,10255,12-Apr-2013,Richter Supermarkt,Michael Holz,Genève,Switzerland,Chang,Beverages,24 - 12 oz bottles,15.20,20,0.00, 19.00 
100022,10255,12-Apr-2013,Richter Supermarkt,Michael Holz,Genève,Switzerland,Pavlova,Confections,32 - 500 g boxes,13.90,35,0.00, 17.45 
100023,10255,12-Apr-2013,Richter Supermarkt,Michael Holz,Genève,Switzerland,Inlagd Sill,Seafood,24 - 250 g  jars,15.20,25,0.00, 19.00 
100024,10255,12-Apr-2013,Richter Supermarkt,Michael Holz,Genève,Switzerland,Raclette Courdavault,Dairy Products,5 kg pkg.,44.00,30,0.00, 55.00 
100025,10256,15-Apr-2013,Wellington Importadora,Paula Parente,Resende,Brazil,Perth Pasties,Meat/Poultry,48 pieces,26.20,15,0.00, 32.80 
100026,10256,15-Apr-2013,Wellington Importadora,Paula Parente,Resende,Brazil,Original Frankfurter grüne Soße,Condiments,12 boxes,10.40,12,0.00, 13.00 
100027,10257,16-Apr-2013,HILARIÓN-Abastos,Carlos Hernández,San Cristóbal,Venezuela,Schoggi Schokolade,Confections,100 - 100 g pieces,35.10,25,0.00, 43.90 
100028,10257,16-Apr-2013,HILARIÓN-Abastos,Carlos Hernández,San Cristóbal,Venezuela,Chartreuse verte,Beverages,750 cc per bottle,14.40,6,0.00, 18.00 
100029,10257,16-Apr-2013,HILARIÓN-Abastos,Carlos Hernández,San Cristóbal,Venezuela,Original Frankfurter grüne Soße,Condiments,12 boxes,10.40,15,0.00, 13.00 
100030,10258,17-Apr-2013,Ernst Handel,Roland Mendel,Graz,Austria,Chang,Beverages,24 - 12 oz bottles,15.20,50,0.20, 19.00 
100031,10258,17-Apr-2013,Ernst Handel,Roland Mendel,Graz,Austria,Chef Anton's Gumbo Mix,Condiments,36 boxes,17.00,65,0.20, 21.35 
100032,10258,17-Apr-2013,Ernst Handel,Roland Mendel,Graz,Austria,Mascarpone Fabioli,Dairy Products,24 - 200 g pkgs.,25.60,6,0.20, 32.00 
100033,10259,18-Apr-2013,Centro comercial Moctezuma,Francisco Chang,México D.F.,Mexico,Sir Rodney's Scones,Confections,24 pkgs. x 4 pieces,8.00,10,0.00, 10.00 
100034,10259,18-Apr-2013,Centro comercial Moctezuma,Francisco Chang,México D.F.,Mexico,Gravad lax,Seafood,12 - 500 g pkgs.,20.80,1,0.00, 26.00 
100035,10260,19-Apr-2013,Old World Delicatessen,Rene Phillips,Anchorage,USA,Jack's New England Clam Chowder,Seafood,12 - 12 oz cans,7.70,16,0.25, 9.65 
100036,10260,19-Apr-2013,Old World Delicatessen,Rene Phillips,Anchorage,USA,Ravioli Angelo,Grains/Cereals,24 - 250 g pkgs.,15.60,50,0.00, 19.50 
100037,10260,19-Apr-2013,Old World Delicatessen,Rene Phillips,Anchorage,USA,Tarte au sucre,Confections,48 pies,39.40,15,0.25, 49.30 
100038,10260,19-Apr-2013,Old World Delicatessen,Rene Phillips,Anchorage,USA,Outback Lager,Beverages,24 - 355 ml bottles,12.00,21,0.25, 15.00 
100039,10261,19-Apr-2013,Que Delícia,Bernardo Batista,Rio de Janeiro,Brazil,Sir Rodney's Scones,Confections,24 pkgs. x 4 pieces,8.00,20,0.00, 10.00 
100040,10261,19-Apr-2013,Que Delícia,Bernardo Batista,Rio de Janeiro,Brazil,Steeleye Stout,Beverages,24 - 12 oz bottles,14.40,20,0.00, 18.00 
100041,10262,22-Apr-2013,Rattlesnake Canyon Grocery,Paula Wilson,Albuquerque,USA,Chef Anton's Gumbo Mix,Condiments,36 boxes,17.00,12,0.20, 21.35 
100042,10262,22-Apr-2013,Rattlesnake Canyon Grocery,Paula Wilson,Albuquerque,USA,Uncle Bob's Organic Dried Pears,Produce,12 - 1 lb pkgs.,24.00,15,0.00, 30.00 
100043,10262,22-Apr-2013,Rattlesnake Canyon Grocery,Paula Wilson,Albuquerque,USA,Gnocchi di nonna Alice,Grains/Cereals,24 - 250 g pkgs.,30.40,2,0.00, 38.00 
100044,10263,23-Apr-2013,Ernst Handel,Roland Mendel,Graz,Austria,Pavlova,Confections,32 - 500 g boxes,13.90,60,0.25, 17.45 
100045,10263,23-Apr-2013,Ernst Handel,Roland Mendel,Graz,Austria,Guaraná Fantástica,Beverages,12 - 355 ml cans,3.60,28,0.00, 4.50 
100046,10263,23-Apr-2013,Ernst Handel,Roland Mendel,Graz,Austria,Nord-Ost Matjeshering,Seafood,10 - 200 g glasses,20.70,60,0.25, 25.89 
100047,10263,23-Apr-2013,Ernst Handel,Roland Mendel,Graz,Austria,Longlife Tofu,Produce,5 kg pkg.,8.00,36,0.25, 10.00 
100048,10264,24-Apr-2013,Folk och fä HB,Maria Larsson,Bräcke,Sweden,Chang,Beverages,24 - 12 oz bottles,15.20,35,0.00, 19.00 
100049,10264,24-Apr-2013,Folk och fä HB,Maria Larsson,Bräcke,Sweden,Jack's New England Clam Chowder,Seafood,12 - 12 oz cans,7.70,25,0.15, 9.65 
100050,10265,25-Apr-2013,Blondel père et fils,Frédérique Citeaux,Strasbourg,France,Alice Mutton,Meat/Poultry,20 - 1 kg tins,31.20,30,0.00, 39.00 
100051,10265,25-Apr-2013,Blondel père et fils,Frédérique Citeaux,Strasbourg,France,Outback Lager,Beverages,24 - 355 ml bottles,12.00,20,0.00, 15.00 
100052,10266,26-Apr-2013,Wartian Herkku,Pirkko Koskitalo,Oulu,Finland,Queso Manchego La Pastora,Dairy Products,10 - 500 g pkgs.,30.40,12,0.05, 38.00 
100053,10267,29-Apr-2013,Frankenversand,Peter Franken,München,Germany,Boston Crab Meat,Seafood,24 - 4 oz tins,14.70,50,0.00, 18.40 
100054,10267,29-Apr-2013,Frankenversand,Peter Franken,München,Germany,Raclette Courdavault,Dairy Products,5 kg pkg.,44.00,70,0.15, 55.00 
100055,10267,29-Apr-2013,Frankenversand,Peter Franken,München,Germany,Lakkalikööri,Beverages,500 ml,14.40,15,0.15, 18.00 
100056,10268,30-Apr-2013,GROSELLA-Restaurante,Manuel Pereira,Caracas,Venezuela,Thüringer Rostbratwurst,Meat/Poultry,50 bags x 30 sausgs.,99.00,10,0.00, 123.79 
100057,10268,30-Apr-2013,GROSELLA-Restaurante,Manuel Pereira,Caracas,Venezuela,Mozzarella di Giovanni,Dairy Products,24 - 200 g pkgs.,27.80,4,0.00, 34.80 
100058,10269,30-Apr-2013,White Clover Markets,Karl Jablonski,Seattle,USA,Geitost,Dairy Products,500 g,2.00,60,0.05, 2.50 
100059,10269,30-Apr-2013,White Clover Markets,Karl Jablonski,Seattle,USA,Mozzarella di Giovanni,Dairy Products,24 - 200 g pkgs.,27.80,20,0.05, 34.80 
100060,10270,01-May-2013,Wartian Herkku,Pirkko Koskitalo,Oulu,Finland,Inlagd Sill,Seafood,24 - 250 g  jars,15.20,30,0.00, 19.00 
100061,10270,01-May-2013,Wartian Herkku,Pirkko Koskitalo,Oulu,Finland,Ipoh Coffee,Beverages,16 - 500 g tins,36.80,25,0.00, 46.00 
100062,10271,01-May-2013,Split Rail Beer & Ale,Art Braunschweiger,Lander,USA,Geitost,Dairy Products,500 g,2.00,24,0.00, 2.50 
100063,10272,02-May-2013,Rattlesnake Canyon Grocery,Paula Wilson,Albuquerque,USA,Sir Rodney's Marmalade,Confections,30 gift boxes,64.80,6,0.00, 81.00 
100064,10272,02-May-2013,Rattlesnake Canyon Grocery,Paula Wilson,Albuquerque,USA,Gorgonzola Telino,Dairy Products,12 - 100 g pkgs,10.00,40,0.00, 12.50 
100065,10272,02-May-2013,Rattlesnake Canyon Grocery,Paula Wilson,Albuquerque,USA,Mozzarella di Giovanni,Dairy Products,24 - 200 g pkgs.,27.80,24,0.00, 34.80 
100066,10273,05-May-2013,QUICK-Stop,Horst Kloss,Cunewalde,Germany,Ikura,Seafood,12 - 200 ml jars,24.80,24,0.05, 31.00 
100067,10273,05-May-2013,QUICK-Stop,Horst Kloss,Cunewalde,Germany,Gorgonzola Telino,Dairy Products,12 - 100 g pkgs,10.00,15,0.05, 12.50 
100068,10273,05-May-2013,QUICK-Stop,Horst Kloss,Cunewalde,Germany,Geitost,Dairy Products,500 g,2.00,20,0.00, 2.50 
100069,10273,05-May-2013,QUICK-Stop,Horst Kloss,Cunewalde,Germany,Boston Crab Meat,Seafood,24 - 4 oz tins,14.70,60,0.05, 18.40 
100070,10273,05-May-2013,QUICK-Stop,Horst Kloss,Cunewalde,Germany,Lakkalikööri,Beverages,500 ml,14.40,33,0.05, 18.00 
100071,10274,06-May-2013,Vins et alcools Chevalier,Paul Henriot,Reims,France,Fløtemysost,Dairy Products,10 - 500 g pkgs.,17.20,20,0.00, 21.50 
100072,10274,06-May-2013,Vins et alcools Chevalier,Paul Henriot,Reims,France,Mozzarella di Giovanni,Dairy Products,24 - 200 g pkgs.,27.80,7,0.00, 34.80 
100073,10275,07-May-2013,Magazzini Alimentari Riuniti,Giovanni Rovelli,Bergamo,Italy,Guaraná Fantástica,Beverages,12 - 355 ml cans,3.60,12,0.05, 4.50 
100074,10275,07-May-2013,Magazzini Alimentari Riuniti,Giovanni Rovelli,Bergamo,Italy,Raclette Courdavault,Dairy Products,5 kg pkg.,44.00,6,0.05, 55.00 
100075,10276,08-May-2013,Tortuga Restaurante,Miguel Angel Paolino,México D.F.,Mexico,Ikura,Seafood,12 - 200 ml jars,24.80,15,0.00, 31.00 
100076,10276,08-May-2013,Tortuga Restaurante,Miguel Angel Paolino,México D.F.,Mexico,Konbu,Seafood,2 kg box,4.80,10,0.00, 6.00 
100077,10277,09-May-2013,Morgenstern Gesundkost,Alexander Feuer,Leipzig,Germany,Rössle Sauerkraut,Produce,25 - 825 g cans,36.40,20,0.00, 45.60 
100078,10277,09-May-2013,Morgenstern Gesundkost,Alexander Feuer,Leipzig,Germany,Tarte au sucre,Confections,48 pies,39.40,12,0.00, 49.30 
100079,10278,12-May-2013,Berglunds snabbköp,Christina Berglund,Luleå,Sweden,Gula Malacca,Condiments,20 - 2 kg bags,15.50,16,0.00, 19.45 
100080,10278,12-May-2013,Berglunds snabbköp,Christina Berglund,Luleå,Sweden,Raclette Courdavault,Dairy Products,5 kg pkg.,44.00,15,0.00, 55.00 
100081,10278,12-May-2013,Berglunds snabbköp,Christina Berglund,Luleå,Sweden,Vegie-spread,Condiments,15 - 625 g jars,35.10,8,0.00, 43.90 
100082,10278,12-May-2013,Berglunds snabbköp,Christina Berglund,Luleå,Sweden,Röd Kaviar,Seafood,24 - 150 g jars,12.00,25,0.00, 15.00 
100083,10279,13-May-2013,Lehmanns Marktstand,Renate Messner,Frankfurt a.M.,Germany,Alice Mutton,Meat/Poultry,20 - 1 kg tins,31.20,15,0.25, 39.00 
100084,10280,14-May-2013,Berglunds snabbköp,Christina Berglund,Luleå,Sweden,Guaraná Fantástica,Beverages,12 - 355 ml cans,3.60,12,0.00, 4.50 
100085,10280,14-May-2013,Berglunds snabbköp,Christina Berglund,Luleå,Sweden,Pâté chinois,Meat/Poultry,24 boxes x 2 pies,19.20,20,0.00, 24.00 
100086,10280,14-May-2013,Berglunds snabbköp,Christina Berglund,Luleå,Sweden,Rhönbräu Klosterbier,Beverages,24 - 0.5 l bottles,6.20,30,0.00, 7.75 
100087,10281,14-May-2013,Romero y tomillo,Alejandra Camino,Madrid,Spain,Teatime Chocolate Biscuits,Confections,10 boxes x 12 pieces,7.30,1,0.00, 9.20 
100088,10281,14-May-2013,Romero y tomillo,Alejandra Camino,Madrid,Spain,Guaraná Fantástica,Beverages,12 - 355 ml cans,3.60,6,0.00, 4.50 
100089,10281,14-May-2013,Romero y tomillo,Alejandra Camino,Madrid,Spain,Steeleye Stout,Beverages,24 - 12 oz bottles,14.40,4,0.00, 18.00 
100090,10282,15-May-2013,Romero y tomillo,Alejandra Camino,Madrid,Spain,Nord-Ost Matjeshering,Seafood,10 - 200 g glasses,20.70,6,0.00, 25.89 
100091,10282,15-May-2013,Romero y tomillo,Alejandra Camino,Madrid,Spain,Ravioli Angelo,Grains/Cereals,24 - 250 g pkgs.,15.60,2,0.00, 19.50 
100092,10283,16-May-2013,LILA-Supermercado,Carlos González,Barquisimeto,Venezuela,Genen Shouyu,Condiments,24 - 250 ml bottles,12.40,20,0.00, 15.50 
100093,10283,16-May-2013,LILA-Supermercado,Carlos González,Barquisimeto,Venezuela,Teatime Chocolate Biscuits,Confections,10 boxes x 12 pieces,7.30,18,0.00, 9.20 
100094,10283,16-May-2013,LILA-Supermercado,Carlos González,Barquisimeto,Venezuela,Camembert Pierrot,Dairy Products,15 - 300 g rounds,27.20,35,0.00, 34.00 
100095,10283,16-May-2013,LILA-Supermercado,Carlos González,Barquisimeto,Venezuela,Mozzarella di Giovanni,Dairy Products,24 - 200 g pkgs.,27.80,3,0.00, 34.80 
100096,10284,19-May-2013,Lehmanns Marktstand,Renate Messner,Frankfurt a.M.,Germany,Schoggi Schokolade,Confections,100 - 100 g pieces,35.10,15,0.25, 43.90 
100097,10284,19-May-2013,Lehmanns Marktstand,Renate Messner,Frankfurt a.M.,Germany,Gula Malacca,Condiments,20 - 2 kg bags,15.50,21,0.00, 19.45 
100098,10284,19-May-2013,Lehmanns Marktstand,Renate Messner,Frankfurt a.M.,Germany,Camembert Pierrot,Dairy Products,15 - 300 g rounds,27.20,20,0.25, 34.00 
100099,10284,19-May-2013,Lehmanns Marktstand,Renate Messner,Frankfurt a.M.,Germany,Laughing Lumberjack Lager,Beverages,24 - 12 oz bottles,11.20,5,0.25, 14.00 
100100,10285,20-May-2013,QUICK-Stop,Horst Kloss,Cunewalde,Germany,Chai,Beverages,10 boxes x 20 bags,14.40,45,0.20, 18.00 
100101,10285,20-May-2013,QUICK-Stop,Horst Kloss,Cunewalde,Germany,Boston Crab Meat,Seafood,24 - 4 oz tins,14.70,40,0.20, 18.40 
100102,10285,20-May-2013,QUICK-Stop,Horst Kloss,Cunewalde,Germany,Perth Pasties,Meat/Poultry,48 pieces,26.20,36,0.20, 32.80 
100103,10286,21-May-2013,QUICK-Stop,Horst Kloss,Cunewalde,Germany,Steeleye Stout,Beverages,24 - 12 oz bottles,14.40,100,0.00, 18.00 
100104,10286,21-May-2013,QUICK-Stop,Horst Kloss,Cunewalde,Germany,Tarte au sucre,Confections,48 pies,39.40,40,0.00, 49.30 
100105,10287,22-May-2013,Ricardo Adocicados,Janete Limeira,Rio de Janeiro,Brazil,Pavlova,Confections,32 - 500 g boxes,13.90,40,0.15, 17.45 
100106,10287,22-May-2013,Ricardo Adocicados,Janete Limeira,Rio de Janeiro,Brazil,Sasquatch Ale,Beverages,24 - 12 oz bottles,11.20,20,0.00, 14.00 
100107,10287,22-May-2013,Ricardo Adocicados,Janete Limeira,Rio de Janeiro,Brazil,Spegesild,Seafood,4 - 450 g glasses,9.60,15,0.15, 12.00 
100108,10288,23-May-2013,Reggiani Caseifici,Maurizio Moroni,Reggio Emilia,Italy,Tourtière,Meat/Poultry,16 pies,5.90,10,0.10, 7.45 
100109,10288,23-May-2013,Reggiani Caseifici,Maurizio Moroni,Reggio Emilia,Italy,Scottish Longbreads,Confections,10 boxes x 8 pieces,10.00,3,0.10, 12.50 
100110,10289,26-May-2013,B's Beverages,Victoria Ashworth,London,UK,Aniseed Syrup,Condiments,12 - 550 ml bottles,8.00,30,0.00, 10.00 
100111,10289,26-May-2013,B's Beverages,Victoria Ashworth,London,UK,Wimmers gute Semmelknödel,Grains/Cereals,20 bags x 4 pieces,26.60,9,0.00, 33.25 
100112,10290,27-May-2013,Comércio Mineiro,Pedro Afonso,São Paulo,Brazil,Chef Anton's Gumbo Mix,Condiments,36 boxes,17.00,20,0.00, 21.35 
100113,10290,27-May-2013,Comércio Mineiro,Pedro Afonso,São Paulo,Brazil,Thüringer Rostbratwurst,Meat/Poultry,50 bags x 30 sausgs.,99.00,15,0.00, 123.79 
100114,10290,27-May-2013,Comércio Mineiro,Pedro Afonso,São Paulo,Brazil,Maxilaku,Confections,24 - 50 g pkgs.,16.00,15,0.00, 20.00 
100115,10290,27-May-2013,Comércio Mineiro,Pedro Afonso,São Paulo,Brazil,Original Frankfurter grüne Soße,Condiments,12 boxes,10.40,10,0.00, 13.00 
100116,10291,27-May-2013,Que Delícia,Bernardo Batista,Rio de Janeiro,Brazil,Konbu,Seafood,2 kg box,4.80,20,0.10, 6.00 
100117,10291,27-May-2013,Que Delícia,Bernardo Batista,Rio de Janeiro,Brazil,Gula Malacca,Condiments,20 - 2 kg bags,15.50,24,0.10, 19.45 
100118,10291,27-May-2013,Que Delícia,Bernardo Batista,Rio de Janeiro,Brazil,Manjimup Dried Apples,Produce,50 - 300 g pkgs.,42.40,2,0.10, 53.00 
100119,10292,28-May-2013,Tradição Hipermercados,Anabela Domingues,São Paulo,Brazil,Sir Rodney's Marmalade,Confections,30 gift boxes,64.80,20,0.00, 81.00 
100120,10293,29-May-2013,Tortuga Restaurante,Miguel Angel Paolino,México D.F.,Mexico,Carnarvon Tigers,Seafood,16 kg pkg.,50.00,12,0.00, 62.50 
100121,10293,29-May-2013,Tortuga Restaurante,Miguel Angel Paolino,México D.F.,Mexico,Guaraná Fantástica,Beverages,12 - 355 ml cans,3.60,10,0.00, 4.50 
100122,10293,29-May-2013,Tortuga Restaurante,Miguel Angel Paolino,México D.F.,Mexico,Vegie-spread,Condiments,15 - 625 g jars,35.10,5,0.00, 43.90 
100123,10293,29-May-2013,Tortuga Restaurante,Miguel Angel Paolino,México D.F.,Mexico,Rhönbräu Klosterbier,Beverages,24 - 0.5 l bottles,6.20,6,0.00, 7.75 
100124,10294,30-May-2013,Rattlesnake Canyon Grocery,Paula Wilson,Albuquerque,USA,Chai,Beverages,10 boxes x 20 bags,14.40,18,0.00, 18.00 
100125,10294,30-May-2013,Rattlesnake Canyon Grocery,Paula Wilson,Albuquerque,USA,Alice Mutton,Meat/Poultry,20 - 1 kg tins,31.20,15,0.00, 39.00 
100126,10294,30-May-2013,Rattlesnake Canyon Grocery,Paula Wilson,Albuquerque,USA,Ipoh Coffee,Beverages,16 - 500 g tins,36.80,15,0.00, 46.00 
100127,10294,30-May-2013,Rattlesnake Canyon Grocery,Paula Wilson,Albuquerque,USA,Camembert Pierrot,Dairy Products,15 - 300 g rounds,27.20,21,0.00, 34.00 
100128,10294,30-May-2013,Rattlesnake Canyon Grocery,Paula Wilson,Albuquerque,USA,Rhönbräu Klosterbier,Beverages,24 - 0.5 l bottles,6.20,6,0.00, 7.75 
100129,10295,02-Jun-2013,Vins et alcools Chevalier,Paul Henriot,Reims,France,Gnocchi di nonna Alice,Grains/Cereals,24 - 250 g pkgs.,30.40,4,0.00, 38.00 
100130,10296,03-Jun-2013,LILA-Supermercado,Carlos González,Barquisimeto,Venezuela,Queso Cabrales,Dairy Products,1 kg pkg.,16.80,12,0.00, 21.00 
100131,10296,03-Jun-2013,LILA-Supermercado,Carlos González,Barquisimeto,Venezuela,Pavlova,Confections,32 - 500 g boxes,13.90,30,0.00, 17.45 
100132,10296,03-Jun-2013,LILA-Supermercado,Carlos González,Barquisimeto,Venezuela,Gudbrandsdalsost,Dairy Products,10 kg pkg.,28.80,15,0.00, 36.00 
100133,10297,04-Jun-2013,Blondel père et fils,Frédérique Citeaux,Strasbourg,France,Chartreuse verte,Beverages,750 cc per bottle,14.40,60,0.00, 18.00 
100134,10297,04-Jun-2013,Blondel père et fils,Frédérique Citeaux,Strasbourg,France,Mozzarella di Giovanni,Dairy Products,24 - 200 g pkgs.,27.80,20,0.00, 34.80 
100135,10298,05-Jun-2013,Hungry Owl All-Night Grocers,Patricia McKenna,Cork,Ireland,Chang,Beverages,24 - 12 oz bottles,15.20,40,0.00, 19.00 
100136,10298,05-Jun-2013,Hungry Owl All-Night Grocers,Patricia McKenna,Cork,Ireland,Inlagd Sill,Seafood,24 - 250 g  jars,15.20,40,0.25, 19.00 
100137,10298,05-Jun-2013,Hungry Owl All-Night Grocers,Patricia McKenna,Cork,Ireland,Raclette Courdavault,Dairy Products,5 kg pkg.,44.00,30,0.25, 55.00 
100138,10298,05-Jun-2013,Hungry Owl All-Night Grocers,Patricia McKenna,Cork,Ireland,Tarte au sucre,Confections,48 pies,39.40,15,0.00, 49.30 
100139,10299,06-Jun-2013,Ricardo Adocicados,Janete Limeira,Rio de Janeiro,Brazil,Teatime Chocolate Biscuits,Confections,10 boxes x 12 pieces,7.30,15,0.00, 9.20 
100140,10299,06-Jun-2013,Ricardo Adocicados,Janete Limeira,Rio de Janeiro,Brazil,Outback Lager,Beverages,24 - 355 ml bottles,12.00,20,0.00, 15.00 
100141,10300,09-Jun-2013,Magazzini Alimentari Riuniti,Giovanni Rovelli,Bergamo,Italy,Louisiana Hot Spiced Okra,Condiments,24 - 8 oz jars,13.60,30,0.00, 17.00 
100142,10300,09-Jun-2013,Magazzini Alimentari Riuniti,Giovanni Rovelli,Bergamo,Italy,Scottish Longbreads,Confections,10 boxes x 8 pieces,10.00,20,0.00, 12.50 
100143,10301,09-Jun-2013,Die Wandernde Kuh,Rita Müller,Stuttgart,Germany,Boston Crab Meat,Seafood,24 - 4 oz tins,14.70,10,0.00, 18.40 
100144,10301,09-Jun-2013,Die Wandernde Kuh,Rita Müller,Stuttgart,Germany,Gnocchi di nonna Alice,Grains/Cereals,24 - 250 g pkgs.,30.40,20,0.00, 38.00 
100145,10302,10-Jun-2013,Suprêmes délices,Pascale Cartrain,Charleroi,Belgium,Alice Mutton,Meat/Poultry,20 - 1 kg tins,31.20,40,0.00, 39.00 
100146,10302,10-Jun-2013,Suprêmes délices,Pascale Cartrain,Charleroi,Belgium,Rössle Sauerkraut,Produce,25 - 825 g cans,36.40,28,0.00, 45.60 
100147,10302,10-Jun-2013,Suprêmes délices,Pascale Cartrain,Charleroi,Belgium,Ipoh Coffee,Beverages,16 - 500 g tins,36.80,12,0.00, 46.00 
100148,10303,11-Jun-2013,Godos Cocina Típica,José Pedro Freyre,Sevilla,Spain,Boston Crab Meat,Seafood,24 - 4 oz tins,14.70,40,0.10, 18.40 
100149,10303,11-Jun-2013,Godos Cocina Típica,José Pedro Freyre,Sevilla,Spain,Louisiana Fiery Hot Pepper Sauce,Condiments,32 - 8 oz bottles,16.80,30,0.10, 21.05 
100150,10303,11-Jun-2013,Godos Cocina Típica,José Pedro Freyre,Sevilla,Spain,Scottish Longbreads,Confections,10 boxes x 8 pieces,10.00,15,0.10, 12.50 
100151,10304,12-Jun-2013,Tortuga Restaurante,Miguel Angel Paolino,México D.F.,Mexico,Maxilaku,Confections,24 - 50 g pkgs.,16.00,30,0.00, 20.00 
100152,10304,12-Jun-2013,Tortuga Restaurante,Miguel Angel Paolino,México D.F.,Mexico,Raclette Courdavault,Dairy Products,5 kg pkg.,44.00,10,0.00, 55.00 
100153,10304,12-Jun-2013,Tortuga Restaurante,Miguel Angel Paolino,México D.F.,Mexico,Fløtemysost,Dairy Products,10 - 500 g pkgs.,17.20,2,0.00, 21.50 
100154,10305,13-Jun-2013,Old World Delicatessen,Rene Phillips,Anchorage,USA,Carnarvon Tigers,Seafood,16 kg pkg.,50.00,25,0.10, 62.50 
100155,10305,13-Jun-2013,Old World Delicatessen,Rene Phillips,Anchorage,USA,Thüringer Rostbratwurst,Meat/Poultry,50 bags x 30 sausgs.,99.00,25,0.10, 123.79 
100156,10305,13-Jun-2013,Old World Delicatessen,Rene Phillips,Anchorage,USA,Chartreuse verte,Beverages,750 cc per bottle,14.40,30,0.10, 18.00 
100157,10306,16-Jun-2013,Romero y tomillo,Alejandra Camino,Madrid,Spain,Nord-Ost Matjeshering,Seafood,10 - 200 g glasses,20.70,10,0.00, 25.89 
100158,10306,16-Jun-2013,Romero y tomillo,Alejandra Camino,Madrid,Spain,Perth Pasties,Meat/Poultry,48 pieces,26.20,10,0.00, 32.80 
100159,10306,16-Jun-2013,Romero y tomillo,Alejandra Camino,Madrid,Spain,Tourtière,Meat/Poultry,16 pies,5.90,5,0.00, 7.45 
