Make,Model,Type,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,AM,Gears
Mazda,Mazda3 i 4dr,Sedan,Asia,Front,1937500,1815625,2,4,148,26,34,2696,104,178,0,4
Honda,Civic LX 4dr,Sedan,Asia,Front,1981250,1816375,1.7,4,115,32,38,2513,103,175,0,4
Ford,Focus ZX5 5dr,Sedan,USA,Front,1947500,1825875,2,4,130,26,33,2691,103,168,0,4
Saturn,lon3 4dr,Sedan,USA,Front,1978125,1851375,2.2,4,140,26,35,2692,103,185,0,4
GMC,Canyon Z85 SL Regular Cab,Truck,USA,Rear,2066250,1859625,2.8,4,175,18,25,3351,111,192,0,4
Kia,Optima LX 4dr,Sedan,Asia,Front,2005000,1863750,2.4,4,138,23,30,3281,106,186,0,4
Toyota,Tundra Regular Cab V6,Truck,Asia,Rear,2061875,1872250,3.4,6,190,16,18,3925,128,218,0,4
Toyota,Matrix XR,Wagon,Asia,Front,2086875,1894500,1.8,4,130,29,36,2679,102,171,0,4
Saturn,lon3 quad coupe 2dr,Sedan,USA,Front,2043750,1912375,2.2,4,140,26,35,2751,103,185,0,4
Chevrolet,Cavalier LS 2dr,Sedan,USA,Front,2048125,1919625,2.2,4,140,26,37,2617,104,183,0,4
Suzuki,Forenza EX 4dr,Sedan,Asia,Front,1946000,1922250,2,4,119,22,30,2756,102,177,0,4
MINI,Cooper,Sedan,Europe,Front,2124875,1929625,1.6,4,115,28,37,2524,97,143,0,5
Mitsubishi,Lancer LS 4dr,Sedan,Asia,Front,2090250,1964750,2,4,120,25,31,2795,102,181,0,4
Mazda,Mazda3 s 4dr,Sedan,Asia,Front,2150000,1990250,2.3,4,160,25,31,2762,104,179,0,5
Pontiac,Vibe,Wagon,USA,Rear,2130625,1996625,1.8,4,130,29,36,2701,102,172,0,5
Mitsubishi,Lancer OZ Rally 4dr auto,Sedan,Asia,Front,2154000,2024500,2,4,120,25,31,2744,102,181,0,5
Dodge,Dakota Regular Cab,Truck,USA,Rear,2203750,2033000,3.7,6,210,16,22,3714,112,193,0,5
Honda,Civic EX 4dr,Sedan,Asia,Front,2218750,2033125,1.7,4,127,32,37,2601,103,175,0,5
Suzuki,Aerio SX,Wagon,Asia,All,2062125,2036375,2.3,4,155,24,29,2932,98,167,0,4
Mitsubishi,Lancer Sportback LS,Wagon,Asia,Front,2186875,2036875,2.4,4,160,25,31,3020,102,181,0,5
Pontiac,Sunfire 1SC 2dr,Sedan,USA,Front,2216875,2046125,2.2,4,140,24,33,2771,104,182,0,5
Ford,Focus ZTW,Wagon,USA,Front,2184375,2046875,2,4,130,26,33,2702,103,178,0,5
Nissan,Sentra SE-R 4dr,Sedan,Asia,Front,2205000,2055500,2.5,4,165,23,28,2761,100,178,0,5
Kia,Optima LX V6 4dr,Sedan,Asia,Front,2304375,2106250,2.7,6,170,20,27,3279,106,186,0,5
Chrysler,PT Cruiser 4dr,Sedan,USA,Front,2248125,2114875,2.4,4,150,22,29,3101,103,169,0,5
Ford,Mustang 2dr (convertible),Sports,USA,Rear,2293125,2117875,3.8,6,193,20,29,3290,101,183,0,5
Suzuki,Vitara LX,SUV,Asia,All,2145375,2118625,2.5,6,165,19,22,3020,98,163,0,5
Suzuki,Verona LX 4dr,Sedan,Asia,Front,2157750,2131625,2.5,6,155,20,27,3380,106,188,0,5
Chevrolet,Colorado Z85,Truck,USA,All,2345000,2133750,2.8,4,175,18,23,3623,111,192,0,5
Hyundai,Tiburon GT V6 2dr,Sports,Asia,Front,2342375,2137625,2.7,6,172,19,26,3023,100,173,0,5
Honda,Element LX,SUV,Asia,All,2336250,2166750,2.4,4,160,21,24,3468,101,167,0,5
Volkswagen,Jetta GL,Wagon,Europe,Front,2375625,2178375,2,4,115,24,30,3034,99,174,0,5
Chevrolet,Malibu 4dr,Sedan,USA,Front,2374375,2179250,2.2,4,145,24,34,3174,106,188,0,5
Volkswagen,Golf GLS 4dr,Sedan,Europe,Front,2339375,2184750,2,4,115,24,31,2897,99,165,0,5
Dodge,Stratus SXT 4dr,Sedan,USA,Front,2352500,2189000,2.4,4,150,21,28,3182,108,191,0,5
Toyota,Camry LE 4dr,Sedan,Asia,Front,2445000,2194750,2.4,4,157,24,33,3086,107,189,0,5
Mitsubishi,Outlander LS,SUV,Asia,Front,2361500,2196125,2.4,4,160,21,27,3240,103,179,0,5
Hyundai,Sonata GLS 4dr,Sedan,Asia,Front,2417375,2196750,2.7,6,170,19,27,3217,106,187,0,5
Oldsmobile,Alero GX 2dr,Sedan,USA,Front,2353125,2205250,2.2,4,140,24,32,2946,107,187,0,5
Toyota,Camry Solara SE 2dr,Sedan,Asia,Front,2454375,2215250,2.4,4,157,24,33,3175,107,193,0,5
Chrysler,Sebring 4dr,Sedan,USA,Front,2386250,2225625,2.4,4,150,22,30,3173,108,191,0,5
Mazda,Mazda6 i 4dr,Sedan,Asia,Front,2408750,2227125,2.3,4,160,24,32,3042,105,187,0,5
Honda,Civic Si 2dr hatch,Sedan,Asia,Front,2436250,2231125,2,4,160,26,30,2782,101,166,0,5
Ford,Focus SVT 2dr,Sedan,USA,Front,2391875,2234750,2,4,170,21,28,2750,103,168,0,5
Honda,Insight 2dr (gas/electric),Hybrid,Asia,Front,2388750,2238875,2,3,73,60,66,1850,95,155,0,5
Honda,Accord LX 2dr,Sedan,Asia,Front,2482500,2240500,2.4,4,160,26,34,2994,105,188,0,5
Mitsubishi,Galant ES 2.4L 4dr,Sedan,Asia,Front,2414000,2244625,2.4,4,160,23,30,3351,108,191,0,5
Nissan,Altima S 4dr,Sedan,Asia,Front,2405000,2253750,2.5,4,175,21,26,3039,110,192,0,5
Dodge,Ram 1500 Regular Cab ST,Truck,USA,Rear,2526875,2259500,3.7,6,215,16,21,4542,121,208,0,5
Volkswagen,GTI 1.8T 2dr hatch,Sedan,Europe,Front,2478125,2263625,1.8,4,180,24,31,2934,99,168,0,5
MINI,Cooper S,Sedan,Europe,Front,2499875,2267125,1.6,4,163,25,34,2678,97,144,0,5
Nissan,Frontier King Cab XE V6,Truck,Asia,All,2434875,2281625,3.3,6,180,17,20,3932,116,191,0,5
Hyundai,Sonata LX 4dr,Sedan,Asia,Front,2542375,2297500,2.7,6,170,19,27,3217,106,187,1,5
Subaru,Impreza 2.5 RS 4dr,Sedan,Asia,All,2493125,2299875,2.5,4,165,22,28,2965,99,174,0,5
Honda,CR-V LX,SUV,Asia,All,2482500,2302375,2.4,4,160,21,25,3258,103,179,0,5
Honda,Civic Hybrid 4dr manual (gas/electric),Hybrid,Asia,Front,2517500,2306375,1.4,4,93,46,51,2732,103,175,1,5
Chevrolet,Silverado 1500 Regular Cab,Truck,USA,Rear,2538750,2310000,4.3,6,200,15,21,4142,119,206,0,5
Toyota,RAV4,SUV,Asia,All,2536250,2319125,2.4,4,161,22,27,3119,98,167,1,5
Kia,Sorento LX,SUV,Asia,Front,2454375,2328750,3.5,6,192,16,19,4112,107,180,0,5
Chevrolet,Malibu LS 4dr,Sedan,USA,Front,2546250,2329875,3.5,6,200,22,30,3297,106,188,0,5
Dodge,Dakota Club Cab,Truck,USA,Rear,2537500,2333750,3.7,6,210,16,22,3829,131,219,0,5
Subaru,Legacy L 4dr,Sedan,Asia,All,2555625,2339125,2.5,4,165,21,28,3285,104,184,1,5
Dodge,Stratus SE 4dr,Sedan,USA,Front,2527500,2352625,2.4,4,150,21,28,3175,108,191,0,5
Ford,Taurus LX 4dr,Sedan,USA,Front,2540000,2360125,3,6,155,20,27,3306,109,198,0,5
Toyota,Prius 4dr (gas/electric),Hybrid,Asia,Front,2563750,2365750,1.5,4,110,59,51,2890,106,175,1,5
Jeep,Liberty Sport,SUV,USA,All,2516250,2371625,2.4,4,150,20,24,3826,104,174,1,5
Chevrolet,Tracker,SUV,USA,Front,2531875,2388500,2.5,6,165,19,22,2866,98,163,0,5
Saturn,VUE,SUV,USA,All,2573125,2404750,2.2,4,143,21,26,3381,107,181,1,5
Isuzu,Rodeo S,SUV,Asia,Front,2556125,2407625,3.2,6,193,17,21,3836,106,178,1,5
Kia,Sedona LX,Sedan,Asia,Front,2576875,2425000,3.5,6,195,16,22,4802,115,194,1,5
Ford,F-150 Regular Cab XL,Truck,USA,Rear,2751250,2436250,4.6,8,231,15,19,4788,126,211,0,5
Nissan,Xterra XE V6,SUV,Asia,Front,2617375,2439000,3.3,6,180,17,20,3760,104,178,1,5
Volkswagen,Jetta GLS TDI 4dr,Sedan,Europe,Front,2631875,2454750,1.9,4,100,38,46,3003,99,172,1,5
Volkswagen,New Beetle GLS 1.8T 2dr,Sedan,Europe,Front,2631875,2454750,1.8,4,150,24,31,2820,99,161,1,5
Subaru,Forester X,Wagon,Asia,All,2680625,2455750,2.5,4,165,21,28,3090,99,175,1,5
Mazda,Tribute DX 2.0,SUV,Asia,All,2635875,2467750,2,4,130,22,25,3091,103,173,1,5
Saturn,L300-2 4dr,Sedan,USA,Front,2676250,2475125,3,6,182,20,28,3197,107,190,1,5
Pontiac,Aztekt,SUV,USA,Front,2699375,2476250,3.4,6,185,19,26,3779,108,182,1,5
Toyota,Camry Solara SE V6 2dr,Sedan,Asia,Front,2745625,2477375,3.3,6,225,20,29,3417,107,193,1,5
Mercury,Sable GS 4dr,Sedan,USA,Front,2699375,2481000,3,6,155,20,27,3308,109,200,1,5
Chevrolet,Monte Carlo LS 2dr,Sedan,USA,Front,2728125,2503250,3.4,6,180,21,32,3340,111,198,0,5
Honda,Accord EX 2dr,Sedan,Asia,Front,2782500,2510000,2.4,4,160,26,34,3047,105,188,1,5
Chevrolet,Impala 4dr,Sedan,USA,Front,2737500,2511875,3.4,6,180,21,32,3465,111,200,0,5
Hyundai,Santa Fe GLS,SUV,Asia,Front,2698625,2525125,2.7,6,173,20,26,3549,103,177,1,5
Chrysler,Sebring Touring 4dr,Sedan,USA,Front,2730000,2535500,2.7,6,200,21,28,3222,108,191,0,5
Toyota,Camry LE V6 4dr,Sedan,Asia,Front,2846875,2540625,3,6,210,21,29,3296,107,189,1,5
Buick,Century Custom 4dr,Sedan,USA,Front,2772500,2543875,3.1,6,175,20,30,3353,109,195,0,5
Toyota,Celica GT-S 2dr,Sports,Asia,Front,2821250,2545375,1.8,4,180,24,33,2500,102,171,1,5
Chevrolet,Malibu Maxx LS,Wagon,USA,Front,2778125,2549250,3.5,6,200,22,30,3458,112,188,0,5
Ford,Taurus SE,Wagon,USA,Front,2786250,2557125,3,6,155,19,26,3497,109,198,0,5
Mazda,B4000 SE Cab Plus,Truck,Asia,All,2793750,2560250,4,6,207,15,19,3571,126,203,1,5
Dodge,Intrepid SE 4dr,Sedan,USA,Front,2754375,2562750,2.7,6,200,21,29,3469,113,204,0,5
Dodge,Caravan SE,Sedan,USA,Front,2724375,2563500,2.4,4,150,20,26,3862,113,189,0,5
Pontiac,Grand Prix GT1 4dr,Sedan,USA,Front,2799375,2568125,3.8,6,200,20,30,3477,111,198,1,5
Chrysler,PT Cruiser Limited 4dr,Sedan,USA,Front,2750000,2571625,2.4,4,150,22,29,3105,103,169,0,5
Pontiac,Grand Am GT 2dr,Sedan,USA,Front,2806250,2574375,3.4,6,175,20,29,3118,107,186,1,5
Mazda,MX-5 Miata convertible 2dr,Sports,Asia,Rear,2798500,2587625,1.8,4,142,23,28,2387,89,156,1,5
Mercury,Sable GS,Wagon,USA,Front,2824375,2593500,3,6,155,19,26,3488,109,198,1,5
Ford,Taurus SES Duratec 4dr,Sedan,USA,Front,2841875,2607125,3,6,201,19,26,3313,109,198,0,5
Ford,Escape XLS,SUV,USA,All,2814375,2613375,3,6,201,18,23,3346,103,173,0,5
Toyota,Sienna CE,Sedan,Asia,Front,2936875,2649750,3.3,6,230,19,27,4120,119,200,1,5
Honda,Accord LX V6 4dr,Sedan,Asia,Front,2970000,2678500,3,6,240,21,30,3349,108,190,1,5
Oldsmobile,Alero GLS 2dr,Sedan,USA,Front,2959375,2685625,3.4,6,170,20,29,3085,107,187,1,5
Chevrolet,Malibu LT 4dr,Sedan,USA,Front,2936875,2693875,3.5,6,200,23,32,3315,106,188,0,5
Nissan,Altima SE 4dr,Sedan,Asia,Front,2911250,2697500,3.5,6,245,21,26,3197,110,192,1,5
Pontiac,Montana,Sedan,USA,Front,2980625,2705500,3.4,6,185,19,26,3803,112,187,1,5
Volkswagen,Jetta GLI VR6 4dr,Sedan,Europe,Front,2973125,2710750,2.8,6,200,21,30,3179,99,172,1,5
Volkswagen,New Beetle GLS convertible 2dr,Sedan,Europe,Front,2901875,2711125,2,4,115,24,30,3082,99,161,1,5
Acura,RSX Type S 2dr,Sedan,Asia,Front,2977500,2720125,2,4,200,24,31,2778,101,172,0,5
Subaru,Outback,Wagon,Asia,All,2986875,2721625,2.5,4,165,21,28,3430,104,187,1,5
Saturn,L300 2,Wagon,USA,Front,2945000,2722375,2.2,4,140,24,34,3109,107,190,1,5
Volkswagen,Passat GLS 4dr,Sedan,Europe,Front,2994375,2737250,1.8,4,170,22,31,3241,106,185,1,5
Mercury,Sable LS Premium 4dr,Sedan,USA,Front,2986875,2739750,3,6,201,19,26,3315,109,200,1,5
Hyundai,XG350 4dr,Sedan,Asia,Front,3073625,2756875,3.5,6,194,17,26,3651,108,192,1,5
Chevrolet,Monte Carlo SS 2dr,Sedan,USA,Front,3028125,2777750,3.8,6,200,18,28,3434,111,198,1,5
Pontiac,Grand Prix GT2 4dr,Sedan,USA,Front,3036875,2785500,3.8,6,200,20,30,3484,111,198,1,5
Subaru,Baja,Truck,Asia,All,3065000,2788000,2.5,4,165,21,28,3485,104,193,1,5
Suzuki,XL-7 EX,SUV,Asia,Front,2962375,2788375,2.7,6,185,18,22,3682,110,187,1,5
Chrysler,Concorde LX 4dr,Sedan,USA,Front,3016250,2806500,2.7,6,200,21,29,3479,113,208,1,5
Honda,Odyssey LX,Sedan,Asia,Front,3118750,2812250,3.5,6,240,18,25,4310,118,201,1,5
GMC,Sierra Extended Cab 1500,Truck,USA,Rear,3214625,2825500,4.8,8,285,17,20,4548,144,230,1,5
Toyota,MR2 Spyder convertible 2dr,Sports,Asia,Rear,3141250,2848375,1.8,4,138,26,32,2195,97,153,1,5
Volkswagen,Passat GLS 1.8T,Wagon,Europe,Front,3119375,2850125,1.8,4,170,22,31,3338,106,184,1,5
Buick,Regal LS 4dr,Sedan,USA,Front,3111875,2854375,3.8,6,200,20,30,3461,109,196,0,5
Ford,Crown Victoria 4dr,Sedan,USA,Rear,3043125,2857000,4.6,8,224,17,25,4057,115,212,1,5
Chevrolet,Impala LS 4dr,Sedan,USA,Front,3125000,2866375,3.8,6,200,20,30,3476,111,200,1,5
Nissan,Quest S,Sedan,Asia,Front,3097500,2869750,3.5,6,240,19,26,4012,124,204,1,5
Subaru,Impreza WRX 4dr,Sports,Asia,All,3130625,2877750,2,4,227,20,27,3085,99,174,1,5
GMC,Sonoma Crew Cab,Truck,USA,All,3174375,2880375,4.3,6,190,15,19,4083,123,208,1,5
Dodge,Intrepid ES 4dr,Sedan,USA,Front,3110625,2882250,3.5,6,232,18,27,3487,113,204,1,5
Toyota,Camry XLE V6 4dr,Sedan,Asia,Front,3240000,2890625,3,6,210,21,29,3362,107,189,1,5
GMC,Safari SLE,Sedan,USA,Rear,3205000,2901875,4.3,6,190,16,20,4309,111,190,1,5
Mercury,Grand Marquis GS 4dr,Sedan,USA,Rear,3086875,2902125,4.6,8,224,17,25,4052,115,212,1,5
Jeep,Wrangler Sahara convertible 2dr,SUV,USA,All,3190000,2909375,4,6,190,16,19,3575,93,150,1,5
Mazda,MX-5 Miata LS convertible 2dr,Sports,Asia,Rear,3149125,2910625,1.8,4,142,23,28,2387,89,156,1,5
Subaru,Legacy GT 4dr,Sedan,Asia,All,3205625,2917000,2.5,4,165,21,28,3395,104,184,1,5
Chrysler,Sebring convertible 2dr,Sedan,USA,Front,3151875,2931375,2.4,4,150,22,30,3357,106,194,1,5
Mitsubishi,Eclipse GTS 2dr,Sports,Asia,Front,3136500,2932000,3,6,210,21,28,3241,101,177,1,5
Hyundai,XG350 L 4dr,Sedan,Asia,Front,3273625,2935750,3.5,6,194,17,26,3651,108,192,1,5
Audi,A4 1.8T 4dr,Sedan,Europe,Front,3242500,2938500,1.8,4,170,22,31,3252,104,179,0,5
Toyota,Tundra Access Cab V6 SR5,Truck,Asia,All,3241875,2940000,3.4,6,190,14,17,4435,128,218,1,5
Toyota,Avalon XL 4dr,Sedan,Asia,Front,3320000,2961625,3,6,210,21,29,3417,107,192,1,5
Volvo,S40 4dr,Sedan,Europe,Front,3141875,2962625,1.9,4,170,22,29,2767,101,178,1,5
Kia,Amanti 4dr,Sedan,Asia,Front,3250000,2970500,3.5,6,195,17,25,4021,110,196,1,5
Mazda,RX-8 4dr automatic,Sports,Asia,Rear,3212500,2974250,1.3,6,197,18,25,3053,106,174,1,5
Mitsubishi,Galant GTS 4dr,Sedan,Asia,Front,3212500,2985375,3.8,6,230,18,26,3649,108,191,1,5
Toyota,Camry Solara SLE V6 2dr,Sedan,Asia,Front,3313750,2988500,3.3,6,225,20,29,3439,107,193,1,5
Chevrolet,Astro,Sedan,USA,All,3299375,2994250,4.3,6,190,14,17,4605,111,190,1,5
Land Rover,Freelander SE,SUV,Europe,All,3249375,2996125,2.5,6,174,18,21,3577,101,175,1,5
Buick,Rendezvous CX,SUV,USA,Front,3318125,3010625,3.4,6,185,19,26,4024,112,187,0,5
Chrysler,PT Cruiser GT 4dr,Sedan,USA,Front,3244375,3021500,2.4,4,220,21,27,3217,103,169,1,5
Mercedes-Benz,C230 Sport 2dr,Sedan,Europe,Rear,3257500,3031125,1.8,4,189,22,30,3250,107,178,1,5
Buick,LeSabre Custom 4dr,Sedan,USA,Front,3308750,3035250,3.8,6,205,20,29,3567,112,200,0,5
Honda,Accord EX V6 2dr,Sedan,Asia,Front,3370000,3038000,3,6,240,21,30,3294,105,188,1,5
Ford,Freestar SE,Sedan,USA,Front,3366250,3062250,3.9,6,193,17,23,4275,121,201,1,5
Chevrolet,Venture LS,Sedan,USA,Front,3377500,3064750,3.4,6,185,19,26,3699,112,187,1,5
Volvo,V40,Wagon,Europe,Front,3266875,3080125,1.9,4,170,22,29,2822,101,180,1,5
Acura,TSX 4dr,Sedan,Asia,Front,3373750,3080875,2.4,4,200,22,29,3230,105,183,0,5
Subaru,Outback Limited Sedan 4dr,Sedan,Asia,All,3393125,3085875,2.5,4,165,20,27,3495,104,184,1,5
Honda,Odyssey EX,Sedan,Asia,Front,3431250,3093000,3.5,6,240,18,25,4365,118,201,1,5
Toyota,4Runner SR5 V6,SUV,Asia,Front,3463750,3100125,4,6,245,18,21,4035,110,189,1,5
Honda,Pilot LX,SUV,Asia,All,3445000,3105375,3.5,6,240,17,22,4387,106,188,1,5
Chrysler,Concorde LXi 4dr,Sedan,USA,Front,3357500,3113625,3.5,6,232,19,27,3548,113,208,1,5
Toyota,Highlander V6,SUV,Asia,All,3491250,3114375,3.3,6,230,18,24,3935,107,185,1,5
Nissan,Titan King Cab XE,Truck,Asia,All,3331250,3115750,5.6,8,305,14,18,5287,140,224,1,5
Ford,Crown Victoria LX 4dr,Sedan,USA,Rear,3421250,3138125,4.6,8,224,17,25,4057,115,212,1,5
Mazda,RX-8 4dr manual,Sports,Asia,Rear,3400000,3147375,1.3,8,238,18,24,3029,106,174,1,5
Nissan,Maxima SE 4dr,Sedan,Asia,Front,3436250,3147750,3.5,6,265,20,28,3473,111,194,1,5
Nissan,350Z coupe 2dr,Sports,Asia,Rear,3363750,3150375,3.5,6,287,20,26,3188,104,169,1,5
Mitsubishi,Eclipse Spyder GT convertible 2dr,Sports,Asia,Front,3374000,3152250,3,6,210,21,28,3296,101,177,1,5
Chrysler,Town and Country LX,Sedan,USA,Front,3436250,3171375,3.3,6,180,19,26,4068,119,201,1,5
Chevrolet,Impala SS 4dr,Sedan,USA,Front,3499375,3209000,3.8,6,240,18,28,3606,111,200,1,5
Jeep,Grand Cherokee Laredo,SUV,USA,Front,3488125,3210750,4,6,195,16,21,3790,106,181,1,5
Toyota,Sienna XLE Limited,Sedan,Asia,Front,3600000,3211250,3.3,6,230,19,27,4165,119,200,1,5
GMC,Sierra HD 2500,Truck,USA,All,3665250,3219875,6,8,300,13,18,5440,133,222,1,5
Nissan,Pathfinder SE,SUV,Asia,Front,3417375,3246500,3.5,6,240,16,21,3871,106,183,1,5
Buick,Regal GS 4dr,Sedan,USA,Front,3543125,3255875,3.8,6,240,18,28,3536,109,196,0,5
Oldsmobile,Silhouette GL,Sedan,USA,Front,3598750,3265000,3.4,6,185,19,26,3948,120,201,1,5
BMW,325i 4dr,Sedan,Europe,Rear,3561875,3269375,2.5,6,184,20,29,3219,107,176,0,5
Infiniti,G35 4dr,Sedan,Asia,Rear,3561875,3269625,3.5,6,260,18,26,3336,112,187,1,5
Mercedes-Benz,C320 Sport 2dr,Sedan,Europe,Rear,3546250,3304375,3.2,6,215,19,26,3430,107,178,1,5
Mazda,MPV ES,Sedan,Asia,Front,3593750,3325000,3,6,200,18,25,3812,112,188,1,5
Subaru,Outback H6 4dr,Sedan,Asia,All,3668125,3332500,3,6,212,19,26,3610,104,184,1,5
Ford,Mustang GT Premium convertible 2dr,Sports,USA,Rear,3672500,3359375,4.6,8,260,17,25,3347,101,183,1,5
Nissan,Maxima SL 4dr,Sedan,Asia,Front,3680000,3370750,3.5,6,265,20,28,3476,111,194,1,5
Ford,Explorer XLT V6,SUV,USA,All,3708750,3372875,4,6,210,15,20,4463,114,190,1,5
Mercury,Grand Marquis LS Premium 4dr,Sedan,USA,Rear,3699375,3393500,4.6,8,224,17,25,4052,115,212,1,5
Mitsubishi,Diamante LS 4dr,Sedan,Asia,Front,3660250,3406250,3.5,6,205,18,25,3549,107,194,1,5
Toyota,Avalon XLS 4dr,Sedan,Asia,Front,3865000,3408875,3,6,210,21,29,3439,107,192,1,5
Nissan,Murano SL,Wagon,Asia,Rear,3592375,3412500,3.5,6,245,20,25,3801,111,188,1,5
Mercury,Mountaineer,SUV,USA,Front,3749375,3414625,4,6,210,16,21,4374,114,190,1,5
Jaguar,X-Type 2.5 4dr,Sedan,Europe,All,3749375,3419375,2.5,6,192,18,26,3428,107,184,1,5
Lexus,IS 300 4dr manual,Sedan,Asia,Rear,3880625,3425500,3,6,215,18,25,3255,105,177,1,5
Mitsubishi,Lancer Evolution 4dr,Sports,Asia,Front,3695250,3433250,2,4,271,18,26,3263,103,179,1,5
