Make,Model,Type,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,AM,Gears
Mitsubishi,Lancer ES 4dr,Sedan,Asia,Front," 18,27,750 "," 17,18,875 ", 2.00 , 4 , 120 , 25 , 31 ," 2,656 ", 102 , 181 ,0, 4 
Kia,Spectra GSX 4dr hatch,Sedan,Asia,Front," 18,28,750 "," 17,23,750 ", 1.80 , 4 , 124 , 24 , 32 ," 2,697 ", 101 , 178 ,0, 4 
Chevrolet,Cavalier 4dr,Sedan,USA,Front," 18,51,250 "," 17,35,500 ", 2.20 , 4 , 140 , 26 , 37 ," 2,676 ", 104 , 183 ,0, 4 
Toyota,Corolla LE 4dr,Sedan,Asia,Front," 19,11,875 "," 17,36,125 ", 1.80 , 4 , 130 , 32 , 40 ," 2,524 ", 102 , 178 ,0, 4 
Saturn,lon2 quad coupe 2dr,Sedan,USA,Front," 18,56,250 "," 17,38,000 ", 2.20 , 4 , 140 , 26 , 35 ," 2,751 ", 103 , 185 ,0, 4 
Mazda,B2300 SX Regular Cab,Truck,Asia,Rear," 18,55,000 "," 17,58,750 ", 2.30 , 4 , 143 , 24 , 29 ," 2,960 ", 112 , 188 ,0, 4 
Dodge,Neon SXT 4dr,Sedan,USA,Front," 18,80,000 "," 17,60,750 ", 2.00 , 4 , 132 , 29 , 36 ," 2,626 ", 105 , 174 ,0, 4 
Hyundai,Elantra GT 4dr,Sedan,Asia,Front," 19,23,625 "," 17,75,875 ", 2.00 , 4 , 138 , 26 , 34 ," 2,635 ", 103 , 178 ,0, 4 
Hyundai,Elantra GT 4dr hatch,Sedan,Asia,Front," 19,23,625 "," 17,75,875 ", 2.00 , 4 , 138 , 26 , 34 ," 2,698 ", 103 , 178 ,0, 4 
Suzuki,Aerio LX 4dr,Sedan,Asia,Front," 18,12,500 "," 17,89,625 ", 2.30 , 4 , 155 , 25 , 31 ," 2,676 ", 98 , 171 ,0, 4 
Pontiac,Sunfire 1SA 2dr,Sedan,USA,Front," 19,36,875 "," 17,96,875 ", 2.20 , 4 , 140 , 24 , 33 ," 2,771 ", 104 , 182 ,0, 4 
Ford,Focus SE 4dr,Sedan,USA,Front," 19,32,500 "," 18,12,000 ", 2.00 , 4 , 130 , 26 , 33 ," 2,606 ", 103 , 168 ,0, 4 
Mazda,Mazda3 i 4dr,Sedan,Asia,Front," 19,37,500 "," 18,15,625 ", 2.00 , 4 , 148 , 26 , 34 ," 2,696 ", 104 , 178 ,0, 4 
Honda,Civic LX 4dr,Sedan,Asia,Front," 19,81,250 "," 18,16,375 ", 1.70 , 4 , 115 , 32 , 38 ," 2,513 ", 103 , 175 ,0, 4 
Ford,Focus ZX5 5dr,Sedan,USA,Front," 19,47,500 "," 18,25,875 ", 2.00 , 4 , 130 , 26 , 33 ," 2,691 ", 103 , 168 ,0, 4 
Saturn,lon3 4dr,Sedan,USA,Front," 19,78,125 "," 18,51,375 ", 2.20 , 4 , 140 , 26 , 35 ," 2,692 ", 103 , 185 ,0, 4 
GMC,Canyon Z85 SL Regular Cab,Truck,USA,Rear," 20,66,250 "," 18,59,625 ", 2.80 , 4 , 175 , 18 , 25 ," 3,351 ", 111 , 192 ,0, 4 
Kia,Optima LX 4dr,Sedan,Asia,Front," 20,05,000 "," 18,63,750 ", 2.40 , 4 , 138 , 23 , 30 ," 3,281 ", 106 , 186 ,0, 4 
Toyota,Tundra Regular Cab V6,Truck,Asia,Rear," 20,61,875 "," 18,72,250 ", 3.40 , 6 , 190 , 16 , 18 ," 3,925 ", 128 , 218 ,0, 4 
Toyota,Matrix XR,Wagon,Asia,Front," 20,86,875 "," 18,94,500 ", 1.80 , 4 , 130 , 29 , 36 ," 2,679 ", 102 , 171 ,0, 4 
Saturn,lon3 quad coupe 2dr,Sedan,USA,Front," 20,43,750 "," 19,12,375 ", 2.20 , 4 , 140 , 26 , 35 ," 2,751 ", 103 , 185 ,0, 4 
Chevrolet,Cavalier LS 2dr,Sedan,USA,Front," 20,48,125 "," 19,19,625 ", 2.20 , 4 , 140 , 26 , 37 ," 2,617 ", 104 , 183 ,0, 4 
Suzuki,Forenza EX 4dr,Sedan,Asia,Front," 19,46,000 "," 19,22,250 ", 2.00 , 4 , 119 , 22 , 30 ," 2,756 ", 102 , 177 ,0, 4 
MINI,Cooper,Sedan,Europe,Front," 21,24,875 "," 19,29,625 ", 1.60 , 4 , 115 , 28 , 37 ," 2,524 ", 97 , 143 ,0, 5 
Mitsubishi,Lancer LS 4dr,Sedan,Asia,Front," 20,90,250 "," 19,64,750 ", 2.00 , 4 , 120 , 25 , 31 ," 2,795 ", 102 , 181 ,0, 4 
Mazda,Mazda3 s 4dr,Sedan,Asia,Front," 21,50,000 "," 19,90,250 ", 2.30 , 4 , 160 , 25 , 31 ," 2,762 ", 104 , 179 ,0, 5 
Pontiac,Vibe,Wagon,USA,Rear," 21,30,625 "," 19,96,625 ", 1.80 , 4 , 130 , 29 , 36 ," 2,701 ", 102 , 172 ,0, 5 
Mitsubishi,Lancer OZ Rally 4dr auto,Sedan,Asia,Front," 21,54,000 "," 20,24,500 ", 2.00 , 4 , 120 , 25 , 31 ," 2,744 ", 102 , 181 ,0, 5 
Dodge,Dakota Regular Cab,Truck,USA,Rear," 22,03,750 "," 20,33,000 ", 3.70 , 6 , 210 , 16 , 22 ," 3,714 ", 112 , 193 ,0, 5 
Honda,Civic EX 4dr,Sedan,Asia,Front," 22,18,750 "," 20,33,125 ", 1.70 , 4 , 127 , 32 , 37 ," 2,601 ", 103 , 175 ,0, 5 
Suzuki,Aerio SX,Wagon,Asia,All," 20,62,125 "," 20,36,375 ", 2.30 , 4 , 155 , 24 , 29 ," 2,932 ", 98 , 167 ,0, 4 
Mitsubishi,Lancer Sportback LS,Wagon,Asia,Front," 21,86,875 "," 20,36,875 ", 2.40 , 4 , 160 , 25 , 31 ," 3,020 ", 102 , 181 ,0, 5 
Pontiac,Sunfire 1SC 2dr,Sedan,USA,Front," 22,16,875 "," 20,46,125 ", 2.20 , 4 , 140 , 24 , 33 ," 2,771 ", 104 , 182 ,0, 5 
Ford,Focus ZTW,Wagon,USA,Front," 21,84,375 "," 20,46,875 ", 2.00 , 4 , 130 , 26 , 33 ," 2,702 ", 103 , 178 ,0, 5 
Nissan,Sentra SE-R 4dr,Sedan,Asia,Front," 22,05,000 "," 20,55,500 ", 2.50 , 4 , 165 , 23 , 28 ," 2,761 ", 100 , 178 ,0, 5 
Kia,Optima LX V6 4dr,Sedan,Asia,Front," 23,04,375 "," 21,06,250 ", 2.70 , 6 , 170 , 20 , 27 ," 3,279 ", 106 , 186 ,0, 5 
Chrysler,PT Cruiser 4dr,Sedan,USA,Front," 22,48,125 "," 21,14,875 ", 2.40 , 4 , 150 , 22 , 29 ," 3,101 ", 103 , 169 ,0, 5 
Ford,Mustang 2dr (convertible),Sports,USA,Rear," 22,93,125 "," 21,17,875 ", 3.80 , 6 , 193 , 20 , 29 ," 3,290 ", 101 , 183 ,0, 5 
Suzuki,Vitara LX,SUV,Asia,All," 21,45,375 "," 21,18,625 ", 2.50 , 6 , 165 , 19 , 22 ," 3,020 ", 98 , 163 ,0, 5 
Suzuki,Verona LX 4dr,Sedan,Asia,Front," 21,57,750 "," 21,31,625 ", 2.50 , 6 , 155 , 20 , 27 ," 3,380 ", 106 , 188 ,0, 5 
Chevrolet,Colorado Z85,Truck,USA,All," 23,45,000 "," 21,33,750 ", 2.80 , 4 , 175 , 18 , 23 ," 3,623 ", 111 , 192 ,0, 5 
Hyundai,Tiburon GT V6 2dr,Sports,Asia,Front," 23,42,375 "," 21,37,625 ", 2.70 , 6 , 172 , 19 , 26 ," 3,023 ", 100 , 173 ,0, 5 
Honda,Element LX,SUV,Asia,All," 23,36,250 "," 21,66,750 ", 2.40 , 4 , 160 , 21 , 24 ," 3,468 ", 101 , 167 ,0, 5 
Volkswagen,Jetta GL,Wagon,Europe,Front," 23,75,625 "," 21,78,375 ", 2.00 , 4 , 115 , 24 , 30 ," 3,034 ", 99 , 174 ,0, 5 
Chevrolet,Malibu 4dr,Sedan,USA,Front," 23,74,375 "," 21,79,250 ", 2.20 , 4 , 145 , 24 , 34 ," 3,174 ", 106 , 188 ,0, 5 
Volkswagen,Golf GLS 4dr,Sedan,Europe,Front," 23,39,375 "," 21,84,750 ", 2.00 , 4 , 115 , 24 , 31 ," 2,897 ", 99 , 165 ,0, 5 
Dodge,Stratus SXT 4dr,Sedan,USA,Front," 23,52,500 "," 21,89,000 ", 2.40 , 4 , 150 , 21 , 28 ," 3,182 ", 108 , 191 ,0, 5 
Toyota,Camry LE 4dr,Sedan,Asia,Front," 24,45,000 "," 21,94,750 ", 2.40 , 4 , 157 , 24 , 33 ," 3,086 ", 107 , 189 ,0, 5 
Mitsubishi,Outlander LS,SUV,Asia,Front," 23,61,500 "," 21,96,125 ", 2.40 , 4 , 160 , 21 , 27 ," 3,240 ", 103 , 179 ,0, 5 
Hyundai,Sonata GLS 4dr,Sedan,Asia,Front," 24,17,375 "," 21,96,750 ", 2.70 , 6 , 170 , 19 , 27 ," 3,217 ", 106 , 187 ,0, 5 
Oldsmobile,Alero GX 2dr,Sedan,USA,Front," 23,53,125 "," 22,05,250 ", 2.20 , 4 , 140 , 24 , 32 ," 2,946 ", 107 , 187 ,0, 5 
Toyota,Camry Solara SE 2dr,Sedan,Asia,Front," 24,54,375 "," 22,15,250 ", 2.40 , 4 , 157 , 24 , 33 ," 3,175 ", 107 , 193 ,0, 5 
Chrysler,Sebring 4dr,Sedan,USA,Front," 23,86,250 "," 22,25,625 ", 2.40 , 4 , 150 , 22 , 30 ," 3,173 ", 108 , 191 ,0, 5 
Mazda,Mazda6 i 4dr,Sedan,Asia,Front," 24,08,750 "," 22,27,125 ", 2.30 , 4 , 160 , 24 , 32 ," 3,042 ", 105 , 187 ,0, 5 
Honda,Civic Si 2dr hatch,Sedan,Asia,Front," 24,36,250 "," 22,31,125 ", 2.00 , 4 , 160 , 26 , 30 ," 2,782 ", 101 , 166 ,0, 5 
Ford,Focus SVT 2dr,Sedan,USA,Front," 23,91,875 "," 22,34,750 ", 2.00 , 4 , 170 , 21 , 28 ," 2,750 ", 103 , 168 ,0, 5 
Honda,Insight 2dr (gas/electric),Hybrid,Asia,Front," 23,88,750 "," 22,38,875 ", 2.00 , 3 , 73 , 60 , 66 ," 1,850 ", 95 , 155 ,0, 5 
Honda,Accord LX 2dr,Sedan,Asia,Front," 24,82,500 "," 22,40,500 ", 2.40 , 4 , 160 , 26 , 34 ," 2,994 ", 105 , 188 ,0, 5 
Mitsubishi,Galant ES 2.4L 4dr,Sedan,Asia,Front," 24,14,000 "," 22,44,625 ", 2.40 , 4 , 160 , 23 , 30 ," 3,351 ", 108 , 191 ,0, 5 
Nissan,Altima S 4dr,Sedan,Asia,Front," 24,05,000 "," 22,53,750 ", 2.50 , 4 , 175 , 21 , 26 ," 3,039 ", 110 , 192 ,0, 5 
Dodge,Ram 1500 Regular Cab ST,Truck,USA,Rear," 25,26,875 "," 22,59,500 ", 3.70 , 6 , 215 , 16 , 21 ," 4,542 ", 121 , 208 ,0, 5 
Volkswagen,GTI 1.8T 2dr hatch,Sedan,Europe,Front," 24,78,125 "," 22,63,625 ", 1.80 , 4 , 180 , 24 , 31 ," 2,934 ", 99 , 168 ,0, 5 
MINI,Cooper S,Sedan,Europe,Front," 24,99,875 "," 22,67,125 ", 1.60 , 4 , 163 , 25 , 34 ," 2,678 ", 97 , 144 ,0, 5 
Nissan,Frontier King Cab XE V6,Truck,Asia,All," 24,34,875 "," 22,81,625 ", 3.30 , 6 , 180 , 17 , 20 ," 3,932 ", 116 , 191 ,0, 5 
Hyundai,Sonata LX 4dr,Sedan,Asia,Front," 25,42,375 "," 22,97,500 ", 2.70 , 6 , 170 , 19 , 27 ," 3,217 ", 106 , 187 ,1, 5 
Subaru,Impreza 2.5 RS 4dr,Sedan,Asia,All," 24,93,125 "," 22,99,875 ", 2.50 , 4 , 165 , 22 , 28 ," 2,965 ", 99 , 174 ,0, 5 
Honda,CR-V LX,SUV,Asia,All," 24,82,500 "," 23,02,375 ", 2.40 , 4 , 160 , 21 , 25 ," 3,258 ", 103 , 179 ,0, 5 
Honda,Civic Hybrid 4dr manual (gas/electric),Hybrid,Asia,Front," 25,17,500 "," 23,06,375 ", 1.40 , 4 , 93 , 46 , 51 ," 2,732 ", 103 , 175 ,1, 5 
Chevrolet,Silverado 1500 Regular Cab,Truck,USA,Rear," 25,38,750 "," 23,10,000 ", 4.30 , 6 , 200 , 15 , 21 ," 4,142 ", 119 , 206 ,0, 5 
Toyota,RAV4,SUV,Asia,All," 25,36,250 "," 23,19,125 ", 2.40 , 4 , 161 , 22 , 27 ," 3,119 ", 98 , 167 ,1, 5 
Kia,Sorento LX,SUV,Asia,Front," 24,54,375 "," 23,28,750 ", 3.50 , 6 , 192 , 16 , 19 ," 4,112 ", 107 , 180 ,0, 5 
Chevrolet,Malibu LS 4dr,Sedan,USA,Front," 25,46,250 "," 23,29,875 ", 3.50 , 6 , 200 , 22 , 30 ," 3,297 ", 106 , 188 ,0, 5 
Dodge,Dakota Club Cab,Truck,USA,Rear," 25,37,500 "," 23,33,750 ", 3.70 , 6 , 210 , 16 , 22 ," 3,829 ", 131 , 219 ,0, 5 
Subaru,Legacy L 4dr,Sedan,Asia,All," 25,55,625 "," 23,39,125 ", 2.50 , 4 , 165 , 21 , 28 ," 3,285 ", 104 , 184 ,1, 5 
Dodge,Stratus SE 4dr,Sedan,USA,Front," 25,27,500 "," 23,52,625 ", 2.40 , 4 , 150 , 21 , 28 ," 3,175 ", 108 , 191 ,0, 5 
Ford,Taurus LX 4dr,Sedan,USA,Front," 25,40,000 "," 23,60,125 ", 3.00 , 6 , 155 , 20 , 27 ," 3,306 ", 109 , 198 ,0, 5 
Toyota,Prius 4dr (gas/electric),Hybrid,Asia,Front," 25,63,750 "," 23,65,750 ", 1.50 , 4 , 110 , 59 , 51 ," 2,890 ", 106 , 175 ,1, 5 
Jeep,Liberty Sport,SUV,USA,All," 25,16,250 "," 23,71,625 ", 2.40 , 4 , 150 , 20 , 24 ," 3,826 ", 104 , 174 ,1, 5 
Chevrolet,Tracker,SUV,USA,Front," 25,31,875 "," 23,88,500 ", 2.50 , 6 , 165 , 19 , 22 ," 2,866 ", 98 , 163 ,0, 5 
Saturn,VUE,SUV,USA,All," 25,73,125 "," 24,04,750 ", 2.20 , 4 , 143 , 21 , 26 ," 3,381 ", 107 , 181 ,1, 5 
Isuzu,Rodeo S,SUV,Asia,Front," 25,56,125 "," 24,07,625 ", 3.20 , 6 , 193 , 17 , 21 ," 3,836 ", 106 , 178 ,1, 5 
Kia,Sedona LX,Sedan,Asia,Front," 25,76,875 "," 24,25,000 ", 3.50 , 6 , 195 , 16 , 22 ," 4,802 ", 115 , 194 ,1, 5 
Ford,F-150 Regular Cab XL,Truck,USA,Rear," 27,51,250 "," 24,36,250 ", 4.60 , 8 , 231 , 15 , 19 ," 4,788 ", 126 , 211 ,0, 5 
Nissan,Xterra XE V6,SUV,Asia,Front," 26,17,375 "," 24,39,000 ", 3.30 , 6 , 180 , 17 , 20 ," 3,760 ", 104 , 178 ,1, 5 
Volkswagen,Jetta GLS TDI 4dr,Sedan,Europe,Front," 26,31,875 "," 24,54,750 ", 1.90 , 4 , 100 , 38 , 46 ," 3,003 ", 99 , 172 ,1, 5 
Volkswagen,New Beetle GLS 1.8T 2dr,Sedan,Europe,Front," 26,31,875 "," 24,54,750 ", 1.80 , 4 , 150 , 24 , 31 ," 2,820 ", 99 , 161 ,1, 5 
Subaru,Forester X,Wagon,Asia,All," 26,80,625 "," 24,55,750 ", 2.50 , 4 , 165 , 21 , 28 ," 3,090 ", 99 , 175 ,1, 5 
Mazda,Tribute DX 2.0,SUV,Asia,All," 26,35,875 "," 24,67,750 ", 2.00 , 4 , 130 , 22 , 25 ," 3,091 ", 103 , 173 ,1, 5 
Saturn,L300-2 4dr,Sedan,USA,Front," 26,76,250 "," 24,75,125 ", 3.00 , 6 , 182 , 20 , 28 ," 3,197 ", 107 , 190 ,1, 5 
Pontiac,Aztekt,SUV,USA,Front," 26,99,375 "," 24,76,250 ", 3.40 , 6 , 185 , 19 , 26 ," 3,779 ", 108 , 182 ,1, 5 
Toyota,Camry Solara SE V6 2dr,Sedan,Asia,Front," 27,45,625 "," 24,77,375 ", 3.30 , 6 , 225 , 20 , 29 ," 3,417 ", 107 , 193 ,1, 5 
Mercury,Sable GS 4dr,Sedan,USA,Front," 26,99,375 "," 24,81,000 ", 3.00 , 6 , 155 , 20 , 27 ," 3,308 ", 109 , 200 ,1, 5 
Chevrolet,Monte Carlo LS 2dr,Sedan,USA,Front," 27,28,125 "," 25,03,250 ", 3.40 , 6 , 180 , 21 , 32 ," 3,340 ", 111 , 198 ,0, 5 
Honda,Accord EX 2dr,Sedan,Asia,Front," 27,82,500 "," 25,10,000 ", 2.40 , 4 , 160 , 26 , 34 ," 3,047 ", 105 , 188 ,1, 5 
Chevrolet,Impala 4dr,Sedan,USA,Front," 27,37,500 "," 25,11,875 ", 3.40 , 6 , 180 , 21 , 32 ," 3,465 ", 111 , 200 ,0, 5 
Hyundai,Santa Fe GLS,SUV,Asia,Front," 26,98,625 "," 25,25,125 ", 2.70 , 6 , 173 , 20 , 26 ," 3,549 ", 103 , 177 ,1, 5 
Chrysler,Sebring Touring 4dr,Sedan,USA,Front," 27,30,000 "," 25,35,500 ", 2.70 , 6 , 200 , 21 , 28 ," 3,222 ", 108 , 191 ,0, 5 
Toyota,Camry LE V6 4dr,Sedan,Asia,Front," 28,46,875 "," 25,40,625 ", 3.00 , 6 , 210 , 21 , 29 ," 3,296 ", 107 , 189 ,1, 5 
Buick,Century Custom 4dr,Sedan,USA,Front," 27,72,500 "," 25,43,875 ", 3.10 , 6 , 175 , 20 , 30 ," 3,353 ", 109 , 195 ,0, 5 
Toyota,Celica GT-S 2dr,Sports,Asia,Front," 28,21,250 "," 25,45,375 ", 1.80 , 4 , 180 , 24 , 33 ," 2,500 ", 102 , 171 ,1, 5 
Chevrolet,Malibu Maxx LS,Wagon,USA,Front," 27,78,125 "," 25,49,250 ", 3.50 , 6 , 200 , 22 , 30 ," 3,458 ", 112 , 188 ,0, 5 
Ford,Taurus SE,Wagon,USA,Front," 27,86,250 "," 25,57,125 ", 3.00 , 6 , 155 , 19 , 26 ," 3,497 ", 109 , 198 ,0, 5 
Mazda,B4000 SE Cab Plus,Truck,Asia,All," 27,93,750 "," 25,60,250 ", 4.00 , 6 , 207 , 15 , 19 ," 3,571 ", 126 , 203 ,1, 5 
Dodge,Intrepid SE 4dr,Sedan,USA,Front," 27,54,375 "," 25,62,750 ", 2.70 , 6 , 200 , 21 , 29 ," 3,469 ", 113 , 204 ,0, 5 
Dodge,Caravan SE,Sedan,USA,Front," 27,24,375 "," 25,63,500 ", 2.40 , 4 , 150 , 20 , 26 ," 3,862 ", 113 , 189 ,0, 5 
Pontiac,Grand Prix GT1 4dr,Sedan,USA,Front," 27,99,375 "," 25,68,125 ", 3.80 , 6 , 200 , 20 , 30 ," 3,477 ", 111 , 198 ,1, 5 
Chrysler,PT Cruiser Limited 4dr,Sedan,USA,Front," 27,50,000 "," 25,71,625 ", 2.40 , 4 , 150 , 22 , 29 ," 3,105 ", 103 , 169 ,0, 5 
Pontiac,Grand Am GT 2dr,Sedan,USA,Front," 28,06,250 "," 25,74,375 ", 3.40 , 6 , 175 , 20 , 29 ," 3,118 ", 107 , 186 ,1, 5 
Mazda,MX-5 Miata convertible 2dr,Sports,Asia,Rear," 27,98,500 "," 25,87,625 ", 1.80 , 4 , 142 , 23 , 28 ," 2,387 ", 89 , 156 ,1, 5 
Mercury,Sable GS,Wagon,USA,Front," 28,24,375 "," 25,93,500 ", 3.00 , 6 , 155 , 19 , 26 ," 3,488 ", 109 , 198 ,1, 5 
Ford,Taurus SES Duratec 4dr,Sedan,USA,Front," 28,41,875 "," 26,07,125 ", 3.00 , 6 , 201 , 19 , 26 ," 3,313 ", 109 , 198 ,0, 5 
Ford,Escape XLS,SUV,USA,All," 28,14,375 "," 26,13,375 ", 3.00 , 6 , 201 , 18 , 23 ," 3,346 ", 103 , 173 ,0, 5 
Toyota,Sienna CE,Sedan,Asia,Front," 29,36,875 "," 26,49,750 ", 3.30 , 6 , 230 , 19 , 27 ," 4,120 ", 119 , 200 ,1, 5 
Honda,Accord LX V6 4dr,Sedan,Asia,Front," 29,70,000 "," 26,78,500 ", 3.00 , 6 , 240 , 21 , 30 ," 3,349 ", 108 , 190 ,1, 5 
Oldsmobile,Alero GLS 2dr,Sedan,USA,Front," 29,59,375 "," 26,85,625 ", 3.40 , 6 , 170 , 20 , 29 ," 3,085 ", 107 , 187 ,1, 5 
Chevrolet,Malibu LT 4dr,Sedan,USA,Front," 29,36,875 "," 26,93,875 ", 3.50 , 6 , 200 , 23 , 32 ," 3,315 ", 106 , 188 ,0, 5 
Nissan,Altima SE 4dr,Sedan,Asia,Front," 29,11,250 "," 26,97,500 ", 3.50 , 6 , 245 , 21 , 26 ," 3,197 ", 110 , 192 ,1, 5 
Pontiac,Montana,Sedan,USA,Front," 29,80,625 "," 27,05,500 ", 3.40 , 6 , 185 , 19 , 26 ," 3,803 ", 112 , 187 ,1, 5 
Volkswagen,Jetta GLI VR6 4dr,Sedan,Europe,Front," 29,73,125 "," 27,10,750 ", 2.80 , 6 , 200 , 21 , 30 ," 3,179 ", 99 , 172 ,1, 5 
Volkswagen,New Beetle GLS convertible 2dr,Sedan,Europe,Front," 29,01,875 "," 27,11,125 ", 2.00 , 4 , 115 , 24 , 30 ," 3,082 ", 99 , 161 ,1, 5 
