Ozone,Solar,Wind,Temp,PM25,PM10,Index,Month,Day
32,92,,,117,121,2,9,6
20,252,10.9,80,178,52,9,9,7
23,220,10.3,78,125,134,8,9,8
21,230,10.9,75,185,139,8,9,9
24,259,9.7,73,92,144,2,9,10
44,236,14.9,81,170,144,4,9,11
21,259,15.5,76,57,64,8,9,12
28,238,6.3,77,60,126,8,9,13
9,24,10.9,71,39,54,8,9,14
13,112,11.5,71,43,83,4,9,15
46,237,6.9,78,18,101,3,9,16
18,224,13.8,67,40,51,6,9,17
13,27,10.3,76,86,97,9,9,18
24,238,10.3,68,94,61,3,9,19
16,201,8,82,67,145,1,9,20
13,238,12.6,64,59,91,7,9,21
23,14,9.2,71,,,,9,22
36,139,10.3,81,,,,9,23
7,49,10.3,69,123,139,7,9,24
14,20,16.6,63,69,138,2,9,25
30,193,6.9,70,101,117,9,9,26
,145,13.2,77,79,71,5,9,27
14,191,,75,26,114,7,9,28
18,131,8,76,34,123,8,9,29
20,223,11.5,68,142,122,9,9,30
